Timestamp,Number of Pixels in Range,food?
2023-07-07 15:09:23.878020,2230,empty
2023-07-07 15:09:23.944538,2147,empty
2023-07-07 15:09:24.004802,2116,empty
2023-07-07 15:09:24.076615,2205,empty
2023-07-07 15:09:24.143293,2019,empty
2023-07-07 15:09:24.200815,2140,empty
2023-07-07 15:09:24.216707,2154,empty
2023-07-07 15:09:24.233910,2143,empty
2023-07-07 15:09:24.251768,2108,empty
2023-07-07 15:09:24.266549,2204,empty
2023-07-07 15:09:24.281353,2081,empty
2023-07-07 15:09:24.302582,2029,empty
2023-07-07 15:09:24.320935,1973,empty
2023-07-07 15:09:24.339303,2112,empty
2023-07-07 15:09:24.356409,2106,empty
2023-07-07 15:09:24.372582,2165,empty
2023-07-07 15:09:24.387428,2196,empty
2023-07-07 15:09:24.409283,2221,empty
2023-07-07 15:09:24.552378,2246,empty
2023-07-07 15:09:24.607915,2233,empty
2023-07-07 15:09:24.673043,2210,empty
2023-07-07 15:09:24.735276,2163,empty
2023-07-07 15:09:24.832581,2149,empty
2023-07-07 15:09:24.894002,2059,empty
2023-07-07 15:09:24.991732,2131,empty
2023-07-07 15:09:25.102176,2075,empty
2023-07-07 15:09:26.777050,2061,empty
2023-07-07 15:09:26.877457,2160,empty
2023-07-07 15:09:26.911461,2190,empty
2023-07-07 15:09:26.927655,2155,empty
2023-07-07 15:09:27.033240,2119,empty
2023-07-07 15:09:27.103063,2075,empty
2023-07-07 15:09:27.167756,2192,empty
2023-07-07 15:09:27.248001,2058,empty
2023-07-07 15:09:27.264524,2135,empty
2023-07-07 15:09:27.327132,2105,empty
2023-07-07 15:09:27.382094,2154,empty
2023-07-07 15:09:27.400338,2176,empty
2023-07-07 15:09:27.423381,2117,empty
2023-07-07 15:09:27.466204,2183,empty
2023-07-07 15:09:27.485728,2206,empty
2023-07-07 15:09:27.502201,1998,empty
2023-07-07 15:09:27.520163,2201,empty
2023-07-07 15:09:27.535711,2228,empty
2023-07-07 15:09:27.556708,2182,empty
2023-07-07 15:09:27.575026,2200,empty
2023-07-07 15:09:27.592664,2127,empty
2023-07-07 15:09:27.610703,2188,empty
2023-07-07 15:09:27.643849,2127,empty
2023-07-07 15:09:27.671110,2104,empty
2023-07-07 15:09:27.834262,2081,empty
2023-07-07 15:09:27.899767,2070,empty
2023-07-07 15:09:27.964309,2219,empty
2023-07-07 15:09:28.035129,2146,empty
2023-07-07 15:09:28.134054,1997,empty
2023-07-07 15:09:28.229297,2164,empty
2023-07-07 15:09:28.324346,2178,empty
2023-07-07 15:09:30.341213,2142,empty
2023-07-07 15:09:30.437845,2124,empty
2023-07-07 15:09:30.541596,2092,empty
2023-07-07 15:09:30.607600,2217,empty
2023-07-07 15:09:30.626747,2159,empty
2023-07-07 15:09:30.675717,2076,empty
2023-07-07 15:09:30.719873,2046,empty
2023-07-07 15:09:30.785721,2095,empty
2023-07-07 15:09:30.853302,2207,empty
2023-07-07 15:09:30.940414,2029,empty
2023-07-07 15:09:31.002132,2150,empty
2023-07-07 15:09:31.057212,2212,empty
2023-07-07 15:09:31.138179,2207,empty
2023-07-07 15:09:31.268123,2095,empty
2023-07-07 15:09:31.343297,2127,empty
2023-07-07 15:09:32.488507,2102,empty
2023-07-07 15:09:32.558408,2080,empty
2023-07-07 15:09:32.660853,2106,empty
2023-07-07 15:09:32.793908,2137,empty
2023-07-07 15:09:32.815578,2163,empty
2023-07-07 15:09:32.849059,2150,empty
2023-07-07 15:09:32.881554,2179,empty
2023-07-07 15:09:32.942324,2085,empty
2023-07-07 15:09:32.990174,2159,empty
2023-07-07 15:09:33.039321,2151,empty
2023-07-07 15:09:33.088936,2020,empty
2023-07-07 15:09:33.140319,2179,empty
2023-07-07 15:09:33.221490,2000,empty
2023-07-07 15:09:33.295128,2175,empty
2023-07-07 15:09:33.371654,2138,empty
2023-07-07 15:09:33.425691,2149,empty
2023-07-07 15:09:33.512942,2158,empty
2023-07-07 15:09:33.580685,2200,empty
2023-07-07 15:09:33.661276,2152,empty
2023-07-07 15:09:33.740043,2170,empty
2023-07-07 15:09:33.811596,2139,empty
2023-07-07 15:09:33.897615,2202,empty
2023-07-07 15:09:34.019579,2246,empty
2023-07-07 15:09:34.117764,2132,empty
2023-07-07 15:09:34.803068,2132,empty
2023-07-07 15:09:34.827017,2142,empty
2023-07-07 15:09:34.912212,2115,empty
2023-07-07 15:09:34.970891,2085,empty
2023-07-07 15:09:35.027044,2180,empty
2023-07-07 15:09:35.096761,2121,empty
2023-07-07 15:09:35.143598,2088,empty
2023-07-07 15:09:35.161152,2100,empty
2023-07-07 15:09:35.220707,2196,empty
2023-07-07 15:09:35.274221,2156,empty
2023-07-07 15:09:35.296636,2104,empty
2023-07-07 15:09:35.347142,2149,empty
2023-07-07 15:09:35.363630,2187,empty
2023-07-07 15:09:35.416379,2210,empty
2023-07-07 15:09:35.431759,2076,empty
2023-07-07 15:09:35.490464,2157,empty
2023-07-07 15:09:35.514337,2141,empty
2023-07-07 15:09:35.582089,2106,empty
