Timestamp,Number of Pixels in Range,food?
2023-06-29 13:54:36.905064,36,empty
2023-06-29 13:54:36.950457,0,empty
2023-06-29 13:54:37.012691,0,empty
2023-06-29 13:54:37.066306,0,empty
2023-06-29 13:54:37.101857,0,empty
2023-06-29 13:54:37.119350,0,empty
2023-06-29 13:54:37.139184,0,empty
2023-06-29 13:54:37.193358,0,empty
2023-06-29 13:54:37.239367,0,empty
2023-06-29 13:54:37.270037,0,empty
2023-06-29 13:54:37.317103,0,empty
2023-06-29 13:54:37.351788,0,empty
2023-06-29 13:54:37.402729,0,empty
2023-06-29 13:54:37.437017,0,empty
2023-06-29 13:54:37.479630,0,empty
2023-06-29 13:54:37.501919,0,empty
2023-06-29 13:54:37.545543,0,empty
2023-06-29 13:54:37.560880,0,empty
2023-06-29 13:54:37.579051,0,empty
2023-06-29 13:54:37.613461,0,empty
2023-06-29 13:54:37.631408,0,empty
2023-06-29 13:54:37.683837,0,empty
2023-06-29 13:54:37.719842,0,empty
2023-06-29 13:54:37.735701,0,empty
2023-06-29 13:54:37.751743,0,empty
2023-06-29 13:54:37.801100,0,empty
2023-06-29 13:54:37.816920,0,empty
2023-06-29 13:54:37.862260,0,empty
2023-06-29 13:54:37.880048,0,empty
2023-06-29 13:54:37.930037,0,empty
2023-06-29 13:54:37.948413,0,empty
2023-06-29 13:54:38.028376,0,empty
2023-06-29 13:54:38.069669,0,empty
2023-06-29 13:54:38.083981,0,empty
2023-06-29 13:54:38.135975,0,empty
2023-06-29 13:54:38.200685,0,empty
2023-06-29 13:54:38.246620,0,empty
2023-06-29 13:54:38.261115,0,empty
2023-06-29 13:54:38.312331,0,empty
2023-06-29 13:54:38.328392,0,empty
2023-06-29 13:54:38.375907,0,empty
2023-06-29 13:54:38.393951,0,empty
2023-06-29 13:54:38.456965,0,empty
2023-06-29 13:54:38.508303,0,empty
2023-06-29 13:54:38.552564,0,empty
2023-06-29 13:54:38.567375,0,empty
2023-06-29 13:54:38.622058,0,empty
2023-06-29 13:54:38.635837,0,empty
2023-06-29 13:54:38.684012,0,empty
2023-06-29 13:54:38.701397,0,empty
2023-06-29 13:54:38.765564,0,empty
2023-06-29 13:54:38.834281,0,empty
2023-06-29 13:54:38.897307,0,empty
2023-06-29 13:54:38.957661,0,empty
2023-06-29 13:54:39.006649,0,empty
2023-06-29 13:54:39.072413,0,empty
2023-06-29 13:54:39.119190,0,empty
2023-06-29 13:54:39.136029,0,empty
2023-06-29 13:54:39.201025,0,empty
2023-06-29 13:54:39.269014,0,empty
2023-06-29 13:54:39.341103,0,empty
2023-06-29 13:54:39.402092,0,empty
2023-06-29 13:54:39.461606,0,empty
2023-06-29 13:54:39.503414,0,empty
2023-06-29 13:54:39.550187,0,empty
2023-06-29 13:54:39.567954,0,empty
2023-06-29 13:54:39.617160,0,empty
2023-06-29 13:54:39.669203,0,empty
2023-06-29 13:54:39.685620,0,empty
2023-06-29 13:54:39.765078,0,empty
2023-06-29 13:54:39.835690,0,empty
2023-06-29 13:54:39.905551,0,empty
2023-06-29 13:54:39.933184,0,empty
2023-06-29 13:54:39.952352,0,empty
2023-06-29 13:54:39.976541,0,empty
2023-06-29 13:54:40.107200,0,empty
2023-06-29 13:54:40.171453,0,empty
2023-06-29 13:54:40.237217,0,empty
2023-06-29 13:54:40.352260,0,empty
2023-06-29 13:54:40.443924,0,empty
2023-06-29 13:54:40.501297,12,empty
2023-06-29 13:54:40.592888,0,empty
2023-06-29 13:54:41.315719,0,empty
2023-06-29 13:54:41.380451,0,empty
