Timestamp,Number of Pixels in Range,food?
2023-06-29 13:55:38.726721,0,empty
2023-06-29 13:55:38.776124,0,empty
2023-06-29 13:55:38.826909,0,empty
2023-06-29 13:55:38.864734,0,empty
2023-06-29 13:55:38.876673,0,empty
2023-06-29 13:55:38.899763,0,empty
2023-06-29 13:55:38.936506,0,empty
2023-06-29 13:55:38.962841,0,empty
2023-06-29 13:55:38.997225,0,empty
2023-06-29 13:55:39.023073,0,empty
2023-06-29 13:55:39.073433,0,empty
2023-06-29 13:55:39.129819,0,empty
2023-06-29 13:55:39.152604,0,empty
2023-06-29 13:55:39.191886,0,empty
2023-06-29 13:55:39.218585,0,empty
2023-06-29 13:55:39.257835,0,empty
2023-06-29 13:55:39.280777,0,empty
2023-06-29 13:55:39.329707,0,empty
2023-06-29 13:55:39.370422,0,empty
2023-06-29 13:55:39.381752,0,empty
2023-06-29 13:55:39.405974,0,empty
2023-06-29 13:55:39.443483,0,empty
2023-06-29 13:55:39.466952,0,empty
2023-06-29 13:55:39.503080,0,empty
2023-06-29 13:55:39.530315,0,empty
2023-06-29 13:55:39.576606,0,empty
2023-06-29 13:55:39.610876,0,empty
2023-06-29 13:55:39.633414,0,empty
2023-06-29 13:55:39.671851,0,empty
2023-06-29 13:55:39.696041,0,empty
2023-06-29 13:55:39.732896,0,empty
2023-06-29 13:55:39.758395,0,empty
2023-06-29 13:55:39.805961,0,empty
2023-06-29 13:55:39.847131,0,empty
2023-06-29 13:55:39.870291,0,empty
2023-06-29 13:55:39.909277,0,empty
2023-06-29 13:55:39.932917,0,empty
2023-06-29 13:55:39.968165,0,empty
2023-06-29 13:55:39.992323,0,empty
2023-06-29 13:55:40.041581,0,empty
2023-06-29 13:55:40.077146,0,empty
2023-06-29 13:55:40.102820,32,empty
2023-06-29 13:55:40.137100,0,empty
2023-06-29 13:55:40.163207,36,empty
2023-06-29 13:55:40.195370,0,empty
2023-06-29 13:55:40.218414,0,empty
2023-06-29 13:55:40.264198,0,empty
2023-06-29 13:55:40.301778,0,empty
2023-06-29 13:55:40.325581,0,empty
2023-06-29 13:55:40.366251,0,empty
2023-06-29 13:55:40.390244,0,empty
2023-06-29 13:55:40.435310,0,empty
2023-06-29 13:55:40.470481,0,empty
2023-06-29 13:55:40.496427,0,empty
2023-06-29 13:55:40.537642,0,empty
2023-06-29 13:55:40.562518,0,empty
2023-06-29 13:55:40.610640,0,empty
2023-06-29 13:55:40.648797,0,empty
2023-06-29 13:55:40.675799,0,empty
2023-06-29 13:55:40.710794,0,empty
2023-06-29 13:55:40.733143,0,empty
2023-06-29 13:55:40.771747,0,empty
2023-06-29 13:55:40.796492,0,empty
2023-06-29 13:55:40.842309,0,empty
2023-06-29 13:55:40.879645,0,empty
2023-06-29 13:55:40.905785,0,empty
2023-06-29 13:55:40.943253,0,empty
2023-06-29 13:55:40.969563,0,empty
2023-06-29 13:55:41.006639,0,empty
2023-06-29 13:55:41.030284,0,empty
2023-06-29 13:55:41.078640,0,empty
2023-06-29 13:55:41.119459,0,empty
2023-06-29 13:55:41.144970,0,empty
2023-06-29 13:55:41.189334,0,empty
2023-06-29 13:55:41.215008,0,empty
2023-06-29 13:55:41.251549,0,empty
2023-06-29 13:55:41.276196,0,empty
2023-06-29 13:55:41.327842,0,empty
2023-06-29 13:55:41.369283,0,empty
2023-06-29 13:55:41.394981,0,empty
2023-06-29 13:55:41.437038,0,empty
2023-06-29 13:55:41.463115,0,empty
2023-06-29 13:55:41.498991,0,empty
2023-06-29 13:55:41.522949,0,empty
2023-06-29 13:55:41.570541,0,empty
2023-06-29 13:55:41.605480,0,empty
2023-06-29 13:55:41.616959,0,empty
2023-06-29 13:55:41.639364,0,empty
2023-06-29 13:55:41.685580,0,empty
2023-06-29 13:55:41.719473,0,empty
2023-06-29 13:55:41.742803,0,empty
2023-06-29 13:55:41.777968,0,empty
2023-06-29 13:55:41.807114,0,empty
2023-06-29 13:55:41.851471,0,empty
2023-06-29 13:55:41.881409,0,empty
2023-06-29 13:55:41.937226,0,empty
2023-06-29 13:55:41.980214,0,empty
2023-06-29 13:55:42.006522,0,empty
2023-06-29 13:55:42.040982,0,empty
2023-06-29 13:55:42.066116,0,empty
2023-06-29 13:55:42.108107,0,empty
2023-06-29 13:55:42.133686,0,empty
2023-06-29 13:55:42.172076,0,empty
2023-06-29 13:55:42.197373,0,empty
2023-06-29 13:55:42.237909,0,empty
2023-06-29 13:55:42.263337,0,empty
2023-06-29 13:55:42.303743,0,empty
2023-06-29 13:55:42.327377,0,empty
2023-06-29 13:55:42.377441,0,empty
2023-06-29 13:55:42.416528,0,empty
2023-06-29 13:55:42.442107,0,empty
2023-06-29 13:55:42.474687,0,empty
2023-06-29 13:55:42.498720,0,empty
2023-06-29 13:55:42.541263,0,empty
2023-06-29 13:55:42.564409,0,empty
2023-06-29 13:55:42.599886,0,empty
2023-06-29 13:55:42.623732,28,empty
2023-06-29 13:55:42.657401,0,empty
2023-06-29 13:55:42.681753,0,empty
2023-06-29 13:55:42.734709,0,empty
2023-06-29 13:55:42.771224,0,empty
2023-06-29 13:55:42.798383,46,empty
2023-06-29 13:55:42.836811,0,empty
2023-06-29 13:55:42.859876,0,empty
2023-06-29 13:55:42.892930,0,empty
2023-06-29 13:55:42.921330,0,empty
2023-06-29 13:55:42.972748,0,empty
2023-06-29 13:55:43.017244,0,empty
2023-06-29 13:55:43.039648,0,empty
2023-06-29 13:55:43.074414,0,empty
2023-06-29 13:55:43.098889,0,empty
2023-06-29 13:55:43.142542,0,empty
2023-06-29 13:55:43.169235,0,empty
2023-06-29 13:55:43.210027,0,empty
2023-06-29 13:55:43.236715,0,empty
2023-06-29 13:55:43.300396,14,empty
2023-06-29 13:55:43.341247,0,empty
2023-06-29 13:55:43.365969,0,empty
2023-06-29 13:55:43.402470,0,empty
2023-06-29 13:55:43.426907,0,empty
2023-06-29 13:55:43.465771,0,empty
2023-06-29 13:55:43.475809,0,empty
2023-06-29 13:55:43.499442,0,empty
2023-06-29 13:55:43.548173,0,empty
2023-06-29 13:55:43.582371,0,empty
2023-06-29 13:55:43.606258,0,empty
2023-06-29 13:55:43.649484,0,empty
2023-06-29 13:55:43.677116,0,empty
2023-06-29 13:55:43.726334,0,empty
2023-06-29 13:55:43.754026,0,empty
2023-06-29 13:55:43.809639,0,empty
2023-06-29 13:55:43.856206,0,empty
2023-06-29 13:55:43.885600,0,empty
2023-06-29 13:55:43.931143,0,empty
2023-06-29 13:55:43.996105,0,empty
2023-06-29 13:55:44.048039,0,empty
2023-06-29 13:55:44.139414,0,empty
2023-06-29 13:55:44.191477,0,empty
2023-06-29 13:55:44.237748,0,empty
2023-06-29 13:55:44.350645,0,empty
2023-06-29 13:55:44.395604,0,empty
2023-06-29 13:55:44.467612,0,empty
2023-06-29 13:55:44.516122,0,empty
2023-06-29 13:55:44.633695,0,empty
2023-06-29 13:55:44.677378,0,empty
2023-06-29 13:55:44.738451,0,empty
2023-06-29 13:55:44.803605,0,empty
2023-06-29 13:55:44.883675,0,empty
2023-06-29 13:55:44.927725,0,empty
2023-06-29 13:55:44.995241,0,empty
2023-06-29 13:55:45.057661,0,empty
2023-06-29 13:55:45.129502,0,empty
2023-06-29 13:55:45.204759,0,empty
2023-06-29 13:55:45.273692,0,empty
2023-06-29 13:55:45.337040,0,empty
2023-06-29 13:55:45.409341,0,empty
2023-06-29 13:55:45.474772,0,empty
2023-06-29 13:55:45.540956,0,empty
2023-06-29 13:55:45.614315,0,empty
2023-06-29 13:55:45.694028,0,empty
2023-06-29 13:55:45.785543,0,empty
2023-06-29 13:55:45.868905,0,empty
2023-06-29 13:55:45.942273,0,empty
2023-06-29 13:55:46.031347,0,empty
2023-06-29 13:55:46.106497,0,empty
2023-06-29 13:55:46.218671,0,empty
2023-06-29 13:55:46.306596,0,empty
2023-06-29 13:55:46.804528,0,empty
2023-06-29 13:55:46.858799,0,empty
2023-06-29 13:55:46.891082,0,empty
2023-06-29 13:55:46.924055,0,empty
2023-06-29 13:55:46.935889,0,empty
2023-06-29 13:55:46.968796,0,empty
2023-06-29 13:55:47.021547,0,empty
2023-06-29 13:55:47.069822,0,empty
2023-06-29 13:55:47.120760,0,empty
2023-06-29 13:55:47.169145,0,empty
2023-06-29 13:55:47.222676,0,empty
2023-06-29 13:55:47.268301,0,empty
2023-06-29 13:55:47.346617,0,empty
2023-06-29 13:55:47.401731,0,empty
2023-06-29 13:55:47.494999,0,empty
2023-06-29 13:55:47.564157,0,empty
2023-06-29 13:55:47.677417,0,empty
2023-06-29 13:55:47.756194,0,empty
2023-06-29 13:55:47.829176,0,empty
2023-06-29 13:55:47.908810,0,empty
2023-06-29 13:55:48.468860,0,empty
2023-06-29 13:55:48.486107,0,empty
2023-06-29 13:55:48.541488,0,empty
2023-06-29 13:55:48.586740,0,empty
2023-06-29 13:55:48.601790,0,empty
2023-06-29 13:55:48.633306,0,empty
2023-06-29 13:55:48.682220,0,empty
2023-06-29 13:55:48.733366,0,empty
2023-06-29 13:55:48.782276,0,empty
2023-06-29 13:55:48.832367,0,empty
2023-06-29 13:55:48.883047,0,empty
2023-06-29 13:55:48.960087,0,empty
2023-06-29 13:55:49.007838,0,empty
2023-06-29 13:55:49.078539,0,empty
2023-06-29 13:55:49.125676,0,empty
2023-06-29 13:55:49.228443,0,empty
2023-06-29 13:55:49.277645,8,empty
2023-06-29 13:55:49.351686,0,empty
2023-06-29 13:55:49.424465,0,empty
2023-06-29 13:55:49.512613,0,empty
2023-06-29 13:55:49.561407,0,empty
2023-06-29 13:55:49.634155,0,empty
2023-06-29 13:55:49.723706,0,empty
2023-06-29 13:55:49.812086,0,empty
2023-06-29 13:55:49.903438,0,empty
2023-06-29 13:55:49.989528,0,empty
2023-06-29 13:55:50.080087,0,empty
2023-06-29 13:55:51.095040,0,empty
2023-06-29 13:55:51.127949,0,empty
2023-06-29 13:55:51.158405,0,empty
2023-06-29 13:55:51.191963,0,empty
2023-06-29 13:55:51.204448,0,empty
2023-06-29 13:55:51.236071,0,empty
2023-06-29 13:55:51.285042,0,empty
2023-06-29 13:55:51.336249,0,empty
2023-06-29 13:55:51.395822,0,empty
2023-06-29 13:55:51.461529,0,empty
2023-06-29 13:55:51.526304,0,empty
2023-06-29 13:55:51.610229,0,empty
2023-06-29 13:55:51.666351,0,empty
2023-06-29 13:55:51.737479,0,empty
2023-06-29 13:55:51.815116,0,empty
2023-06-29 13:55:51.902638,0,empty
2023-06-29 13:55:51.955886,0,empty
2023-06-29 13:55:52.036035,42,empty
2023-06-29 13:55:52.100074,0,empty
2023-06-29 13:55:52.168623,0,empty
2023-06-29 13:55:52.233519,0,empty
2023-06-29 13:55:52.307974,0,empty
2023-06-29 13:55:52.376735,0,empty
2023-06-29 13:55:52.444632,0,empty
2023-06-29 13:55:52.510498,0,empty
2023-06-29 13:55:52.579830,0,empty
2023-06-29 13:55:52.650874,0,empty
2023-06-29 13:55:52.719872,0,empty
2023-06-29 13:55:52.788665,0,empty
2023-06-29 13:55:52.869307,0,empty
2023-06-29 13:55:52.979149,0,empty
2023-06-29 13:55:53.042805,0,empty
2023-06-29 13:55:53.105505,0,empty
2023-06-29 13:55:53.171547,0,empty
2023-06-29 13:55:53.254045,0,empty
2023-06-29 13:55:53.325137,0,empty
2023-06-29 13:55:53.410489,0,empty
2023-06-29 13:55:53.488644,0,empty
2023-06-29 13:55:53.580483,0,empty
2023-06-29 13:55:53.659580,0,empty
2023-06-29 13:55:53.724445,0,empty
2023-06-29 13:55:53.819716,0,empty
2023-06-29 13:55:53.892297,0,empty
2023-06-29 13:55:54.002647,0,empty
2023-06-29 13:55:54.093380,0,empty
2023-06-29 13:55:54.729941,0,empty
2023-06-29 13:55:54.789715,0,empty
2023-06-29 13:55:54.820418,0,empty
2023-06-29 13:55:54.850968,0,empty
2023-06-29 13:55:54.863793,0,empty
2023-06-29 13:55:54.895173,0,empty
2023-06-29 13:55:54.948468,0,empty
2023-06-29 13:55:54.997549,0,empty
2023-06-29 13:55:55.048757,0,empty
2023-06-29 13:55:55.098803,0,empty
2023-06-29 13:55:55.151200,0,empty
2023-06-29 13:55:55.200869,0,empty
2023-06-29 13:55:55.271052,0,empty
2023-06-29 13:55:55.321609,0,empty
2023-06-29 13:55:55.390750,0,empty
2023-06-29 13:55:55.439657,0,empty
2023-06-29 13:55:55.531754,0,empty
2023-06-29 13:55:55.585999,0,empty
2023-06-29 13:55:55.657707,0,empty
2023-06-29 13:55:55.722744,0,empty
2023-06-29 13:55:55.789707,0,empty
2023-06-29 13:55:55.856820,0,empty
2023-06-29 13:55:55.930788,0,empty
2023-06-29 13:55:55.996879,0,empty
2023-06-29 13:55:56.069305,0,empty
2023-06-29 13:55:56.145237,0,empty
2023-06-29 13:55:56.209751,0,empty
2023-06-29 13:55:56.276803,0,empty
2023-06-29 13:55:56.346987,0,empty
2023-06-29 13:55:56.462697,0,empty
2023-06-29 13:55:56.515349,0,empty
2023-06-29 13:55:56.598525,0,empty
2023-06-29 13:55:56.685839,0,empty
2023-06-29 13:55:56.776854,0,empty
2023-06-29 13:55:56.847483,0,empty
2023-06-29 13:55:56.915365,0,empty
2023-06-29 13:55:57.025862,0,hand
2023-06-29 13:55:57.110707,0,hand
2023-06-29 13:55:57.181613,1459,hand
2023-06-29 13:55:57.293889,2226,hand
2023-06-29 13:55:57.881203,4034,hand
2023-06-29 13:55:57.955198,5042,hand
