Timestamp,Number of Pixels in Range,food?
2023-07-07 15:10:35.130981,1870,empty
2023-07-07 15:10:35.211495,2065,empty
2023-07-07 15:10:35.278891,1863,empty
2023-07-07 15:10:35.309227,1942,empty
2023-07-07 15:10:35.322429,1891,empty
2023-07-07 15:10:35.335412,1880,empty
2023-07-07 15:10:35.348039,1845,empty
2023-07-07 15:10:35.360234,1861,empty
2023-07-07 15:10:35.391336,1884,empty
2023-07-07 15:10:35.536043,1871,empty
2023-07-07 15:10:35.600686,1848,empty
2023-07-07 15:10:35.664386,1838,empty
2023-07-07 15:10:35.792212,1876,empty
2023-07-07 15:10:35.875394,1897,empty
2023-07-07 15:10:38.073462,1922,empty
2023-07-07 15:10:38.264390,1866,empty
2023-07-07 15:10:38.285447,1886,empty
2023-07-07 15:10:38.376422,1871,empty
2023-07-07 15:10:38.434035,1907,empty
2023-07-07 15:10:38.491889,1852,empty
2023-07-07 15:10:38.555870,1919,empty
2023-07-07 15:10:38.575785,1919,empty
2023-07-07 15:10:38.637638,1918,empty
2023-07-07 15:10:38.656450,1904,empty
2023-07-07 15:10:38.712963,1910,empty
2023-07-07 15:10:38.775692,1894,empty
2023-07-07 15:10:38.799959,1886,empty
2023-07-07 15:10:38.816729,1827,empty
2023-07-07 15:10:38.830973,1859,empty
2023-07-07 15:10:38.841432,1783,empty
2023-07-07 15:10:38.853902,1894,empty
2023-07-07 15:10:38.872226,1987,empty
2023-07-07 15:10:38.908742,1952,empty
2023-07-07 15:10:39.044715,1975,empty
2023-07-07 15:10:39.099522,1876,empty
2023-07-07 15:10:39.164320,1874,empty
2023-07-07 15:10:39.395309,1927,empty
2023-07-07 15:10:40.753718,1965,empty
2023-07-07 15:10:40.839219,1849,empty
2023-07-07 15:10:40.886150,1910,empty
2023-07-07 15:10:40.935584,1898,empty
2023-07-07 15:10:40.976980,1860,empty
2023-07-07 15:10:41.038893,1848,empty
2023-07-07 15:10:41.086601,1814,empty
2023-07-07 15:10:41.145631,1872,empty
2023-07-07 15:10:41.214916,1885,empty
2023-07-07 15:10:41.288289,1959,empty
2023-07-07 15:10:41.391325,1846,empty
2023-07-07 15:10:41.459526,1880,empty
2023-07-07 15:10:41.580847,1809,empty
2023-07-07 15:10:41.645851,1898,empty
2023-07-07 15:10:41.737899,1886,empty
2023-07-07 15:10:41.813588,1951,empty
2023-07-07 15:10:41.900616,1991,empty
2023-07-07 15:10:41.989871,1864,empty
2023-07-07 15:10:42.129294,1831,empty
2023-07-07 15:10:42.633994,1842,empty
2023-07-07 15:10:42.666939,1863,empty
2023-07-07 15:10:42.703724,1810,empty
2023-07-07 15:10:42.764918,1846,empty
2023-07-07 15:10:42.779020,1949,empty
2023-07-07 15:10:42.808255,1904,empty
2023-07-07 15:10:42.843888,1861,empty
2023-07-07 15:10:42.907776,1905,empty
2023-07-07 15:10:42.966061,1899,empty
2023-07-07 15:10:43.016570,1865,empty
2023-07-07 15:10:43.078212,1838,empty
2023-07-07 15:10:43.134166,1949,empty
2023-07-07 15:10:43.204707,1832,empty
2023-07-07 15:10:43.259145,1909,empty
2023-07-07 15:10:43.337842,1858,empty
2023-07-07 15:10:43.387515,1888,empty
2023-07-07 15:10:43.485054,1833,empty
2023-07-07 15:10:43.532576,1920,empty
2023-07-07 15:10:43.641784,1903,empty
2023-07-07 15:10:43.711297,1850,empty
2023-07-07 15:10:43.792576,1946,empty
2023-07-07 15:10:43.860516,1875,empty
2023-07-07 15:10:43.959350,1839,empty
2023-07-07 15:10:44.038313,1904,empty
2023-07-07 15:10:44.104145,1883,empty
2023-07-07 15:10:44.176211,1882,empty
2023-07-07 15:10:44.278971,1865,empty
2023-07-07 15:10:44.351125,1856,empty
2023-07-07 15:10:44.448877,1848,empty
2023-07-07 15:10:44.522982,1911,empty
2023-07-07 15:10:44.618373,1915,empty
2023-07-07 15:10:44.695156,1892,empty
2023-07-07 15:10:44.790051,1920,empty
2023-07-07 15:10:44.866104,1958,empty
2023-07-07 15:10:44.988533,1922,empty
2023-07-07 15:10:45.988664,1938,empty
2023-07-07 15:10:46.024884,1888,hand
2023-07-07 15:10:46.060939,1926,hand
2023-07-07 15:10:46.098738,1912,hand
2023-07-07 15:10:46.118147,1899,hand
2023-07-07 15:10:46.190707,1901,hand
2023-07-07 15:10:46.259069,1872,hand
2023-07-07 15:10:46.309204,1878,hand
2023-07-07 15:10:46.364808,1904,hand
2023-07-07 15:10:46.434230,1920,hand
2023-07-07 15:10:46.508388,1916,hand
2023-07-07 15:10:46.559651,1928,hand
2023-07-07 15:10:46.640244,1852,hand
2023-07-07 15:10:46.719208,1900,hand
2023-07-07 15:10:46.791565,1884,hand
2023-07-07 15:10:46.866872,1863,hand
2023-07-07 15:10:46.948228,1932,hand
2023-07-07 15:10:47.013844,1875,hand
2023-07-07 15:10:47.093419,1887,hand
2023-07-07 15:10:47.184127,1865,hand
2023-07-07 15:10:47.279082,1925,hand
2023-07-07 15:10:47.370616,1883,hand
2023-07-07 15:10:48.660177,1978,hand
2023-07-07 15:10:48.792901,2979,hand
2023-07-07 15:10:48.895742,4393,hand
2023-07-07 15:10:48.989453,2707,hand
2023-07-07 15:10:49.059083,1950,hand
2023-07-07 15:10:49.078945,2859,hand
2023-07-07 15:10:49.123152,3445,hand
2023-07-07 15:10:49.164568,3709,hand
2023-07-07 15:10:49.230301,3046,hand
2023-07-07 15:10:49.290250,2069,hand
2023-07-07 15:10:49.379134,1798,hand
2023-07-07 15:10:49.442026,1833,hand
2023-07-07 15:10:49.512824,1813,hand
2023-07-07 15:10:49.598371,1864,hand
2023-07-07 15:10:49.683539,1837,hand
2023-07-07 15:10:49.778735,1918,hand
2023-07-07 15:10:49.872036,1993,hand
2023-07-07 15:10:51.883820,2011,food
2023-07-07 15:10:51.987028,2070,food
2023-07-07 15:10:52.149241,2165,food
2023-07-07 15:10:52.258822,5412,food
2023-07-07 15:10:52.429388,5473,food
2023-07-07 15:10:52.594562,5391,food
2023-07-07 15:10:53.254010,5478,food
2023-07-07 15:10:53.289537,5557,food
2023-07-07 15:10:53.327209,5565,food
2023-07-07 15:10:53.360077,5800,food
2023-07-07 15:10:53.372339,5792,food
2023-07-07 15:10:53.423618,5592,food
2023-07-07 15:10:53.479896,5825,food
2023-07-07 15:10:53.532466,5752,food
2023-07-07 15:10:53.582759,5887,food
2023-07-07 15:10:53.625008,5902,food
2023-07-07 15:10:53.677963,5797,food
2023-07-07 15:10:53.754013,5837,food
2023-07-07 15:10:53.808489,5863,food
2023-07-07 15:10:53.889188,5951,food
2023-07-07 15:10:53.972724,5866,food
2023-07-07 15:10:54.048877,5842,food
2023-07-07 15:10:54.104749,5923,food
2023-07-07 15:10:54.198280,5974,food
2023-07-07 15:10:54.270462,5940,food
2023-07-07 15:10:54.357395,5989,food
2023-07-07 15:10:54.457845,5911,food
2023-07-07 15:10:54.576897,5961,food
2023-07-07 15:10:56.044113,5977,food
2023-07-07 15:10:56.181569,5931,food
2023-07-07 15:10:56.201999,5996,food
2023-07-07 15:10:56.219655,6030,food
2023-07-07 15:10:56.309234,6030,food
2023-07-07 15:10:56.367577,6016,food
2023-07-07 15:10:56.428211,6018,food
2023-07-07 15:10:56.481971,6070,food
2023-07-07 15:10:56.508579,6013,food
2023-07-07 15:10:56.552715,6041,food
2023-07-07 15:10:56.613123,6025,food
2023-07-07 15:10:56.634835,6023,food
2023-07-07 15:10:56.691407,6058,food
2023-07-07 15:10:56.714852,6041,food
2023-07-07 15:10:56.776580,6037,food
2023-07-07 15:10:56.798470,5954,food
2023-07-07 15:10:56.876688,6006,food
2023-07-07 15:10:56.893773,6016,food
2023-07-07 15:10:56.914975,6003,food
2023-07-07 15:10:56.931359,6029,food
2023-07-07 15:10:56.945951,5989,food
2023-07-07 15:10:56.961593,6021,food
2023-07-07 15:10:56.982559,6060,food
2023-07-07 15:10:57.000330,6029,food
2023-07-07 15:10:57.017284,6017,food
2023-07-07 15:10:57.032876,6016,food
2023-07-07 15:10:57.071219,5992,food
2023-07-07 15:10:57.088949,6027,food
2023-07-07 15:10:57.104977,6061,food
2023-07-07 15:10:57.123486,6078,food
2023-07-07 15:10:57.139703,6056,food
2023-07-07 15:10:57.189648,5983,food
2023-07-07 15:10:57.206780,6002,food
2023-07-07 15:10:57.256693,5992,food
2023-07-07 15:10:57.273017,6003,food
2023-07-07 15:10:57.328796,6026,food
2023-07-07 15:10:57.345436,6047,food
2023-07-07 15:10:57.441608,6105,food
2023-07-07 15:10:57.491449,6094,food
2023-07-07 15:10:57.509285,6076,food
2023-07-07 15:10:57.554971,6073,food
2023-07-07 15:10:57.572589,6066,food
2023-07-07 15:10:57.632431,6038,food
2023-07-07 15:10:57.651802,6039,food
2023-07-07 15:10:57.701814,6021,food
2023-07-07 15:10:57.717999,6064,food
2023-07-07 15:10:57.742304,6033,food
2023-07-07 15:10:57.760744,6001,food
2023-07-07 15:10:57.778147,5993,food
2023-07-07 15:10:57.941405,5969,food
2023-07-07 15:10:58.001174,6046,food
2023-07-07 15:10:58.069458,6042,food
2023-07-07 15:10:58.167779,6034,food
2023-07-07 15:10:58.249119,6040,food
2023-07-07 15:10:58.351366,6046,food
2023-07-07 15:10:58.448068,6012,food
2023-07-07 15:11:00.292210,6039,hand
2023-07-07 15:11:00.448612,6018,hand
2023-07-07 15:11:00.686749,6085,hand
2023-07-07 15:11:00.851448,6110,hand
2023-07-07 15:11:00.984429,6099,hand
2023-07-07 15:11:01.086029,7111,hand
2023-07-07 15:11:01.105460,7509,hand
2023-07-07 15:11:01.129833,7692,hand
2023-07-07 15:11:01.236807,7667,hand
2023-07-07 15:11:01.313056,7635,hand
2023-07-07 15:11:01.380740,7808,hand
2023-07-07 15:11:01.464533,7756,hand
2023-07-07 15:11:01.499125,7988,hand
2023-07-07 15:11:01.510111,7976,hand
2023-07-07 15:11:01.535251,7854,hand
2023-07-07 15:11:01.549850,7522,hand
2023-07-07 15:11:01.586301,7536,hand
