Timestamp,Number of Pixels in Range,food?
2023-07-07 14:59:04.702218,1094,empty
2023-07-07 14:59:04.762187,1158,empty
2023-07-07 14:59:04.837931,1036,empty
2023-07-07 14:59:04.909939,1142,empty
2023-07-07 14:59:04.950328,1067,empty
2023-07-07 14:59:04.990496,1131,empty
2023-07-07 14:59:05.010032,1127,empty
2023-07-07 14:59:05.027752,1164,empty
2023-07-07 14:59:05.067158,1156,empty
2023-07-07 14:59:05.083382,1197,empty
2023-07-07 14:59:05.104799,1084,empty
2023-07-07 14:59:05.125429,1191,empty
2023-07-07 14:59:05.159426,1088,empty
2023-07-07 14:59:05.194039,1126,empty
2023-07-07 14:59:05.214078,1131,empty
2023-07-07 14:59:05.249693,1118,empty
2023-07-07 14:59:05.282375,1052,empty
2023-07-07 14:59:05.419870,1136,empty
2023-07-07 14:59:05.483540,1146,empty
2023-07-07 14:59:05.549788,1053,empty
2023-07-07 14:59:05.606070,1114,empty
2023-07-07 14:59:05.688505,1142,empty
2023-07-07 14:59:05.771234,1044,empty
2023-07-07 14:59:05.823713,1079,empty
2023-07-07 14:59:05.916099,1147,empty
2023-07-07 14:59:06.009310,1135,empty
2023-07-07 14:59:06.096729,1102,empty
2023-07-07 14:59:06.169145,1153,empty
2023-07-07 14:59:06.266211,1153,empty
2023-07-07 14:59:06.380959,1154,empty
2023-07-07 14:59:08.534633,1133,empty
2023-07-07 14:59:08.554587,1125,empty
2023-07-07 14:59:08.661827,1084,empty
2023-07-07 14:59:08.719754,1093,empty
2023-07-07 14:59:08.778627,1040,empty
2023-07-07 14:59:08.840573,1109,empty
2023-07-07 14:59:08.869461,1024,empty
2023-07-07 14:59:08.910380,1144,empty
2023-07-07 14:59:08.927562,1035,empty
2023-07-07 14:59:08.977401,1132,empty
2023-07-07 14:59:09.028917,1157,empty
2023-07-07 14:59:09.049586,1003,empty
2023-07-07 14:59:09.098219,1086,empty
2023-07-07 14:59:09.123398,1105,empty
2023-07-07 14:59:09.175769,1101,empty
2023-07-07 14:59:09.194864,1140,empty
2023-07-07 14:59:09.253712,1046,empty
2023-07-07 14:59:09.305228,1140,empty
2023-07-07 14:59:09.315923,1006,empty
2023-07-07 14:59:09.328073,1138,empty
2023-07-07 14:59:09.340476,1196,empty
2023-07-07 14:59:09.353207,1097,empty
2023-07-07 14:59:09.366013,1114,empty
2023-07-07 14:59:09.487397,1164,empty
2023-07-07 14:59:09.542593,1173,empty
2023-07-07 14:59:09.598173,1075,empty
2023-07-07 14:59:09.709982,1182,empty
2023-07-07 14:59:09.795930,1151,empty
2023-07-07 14:59:09.853473,1054,empty
2023-07-07 14:59:09.947920,1138,empty
2023-07-07 14:59:10.063056,1081,empty
2023-07-07 14:59:10.859252,1091,empty
2023-07-07 14:59:10.893159,1093,empty
2023-07-07 14:59:10.931145,1072,empty
2023-07-07 14:59:10.964211,1132,empty
2023-07-07 14:59:10.976947,1128,empty
2023-07-07 14:59:11.025465,1166,empty
2023-07-07 14:59:11.075402,1142,empty
2023-07-07 14:59:11.123908,1101,empty
2023-07-07 14:59:11.175407,1050,empty
2023-07-07 14:59:11.225798,1081,empty
2023-07-07 14:59:11.275628,1144,empty
2023-07-07 14:59:11.355377,1118,empty
2023-07-07 14:59:11.406211,1058,empty
2023-07-07 14:59:11.477397,1090,empty
2023-07-07 14:59:11.528053,1133,empty
2023-07-07 14:59:11.643610,1160,empty
2023-07-07 14:59:11.703048,1112,empty
2023-07-07 14:59:11.783717,1081,empty
2023-07-07 14:59:11.857118,1057,empty
2023-07-07 14:59:11.940820,1065,empty
2023-07-07 14:59:12.019277,1129,empty
2023-07-07 14:59:12.083087,1123,empty
2023-07-07 14:59:12.157578,1110,empty
2023-07-07 14:59:12.250148,1105,empty
2023-07-07 14:59:12.322496,1077,empty
2023-07-07 14:59:12.397476,1085,empty
2023-07-07 14:59:12.471198,1131,empty
2023-07-07 14:59:12.571986,1072,empty
2023-07-07 14:59:12.635638,1133,empty
2023-07-07 14:59:12.709669,1110,empty
2023-07-07 14:59:12.792715,1146,empty
2023-07-07 14:59:12.860140,1161,empty
2023-07-07 14:59:12.960939,1120,empty
2023-07-07 14:59:13.028063,1113,empty
2023-07-07 14:59:13.093696,1128,empty
2023-07-07 14:59:13.155918,1083,empty
2023-07-07 14:59:13.240581,1064,empty
2023-07-07 14:59:13.321438,1155,empty
2023-07-07 14:59:13.388802,1076,empty
2023-07-07 14:59:13.479050,1052,empty
2023-07-07 14:59:13.574259,1079,empty
2023-07-07 14:59:13.652648,1176,empty
2023-07-07 14:59:13.763187,1135,empty
2023-07-07 14:59:14.461202,1077,empty
2023-07-07 14:59:14.496387,1103,empty
2023-07-07 14:59:14.522531,1052,empty
2023-07-07 14:59:14.559732,1138,empty
2023-07-07 14:59:14.573701,1121,empty
2023-07-07 14:59:14.630631,1181,empty
2023-07-07 14:59:14.680529,1100,empty
2023-07-07 14:59:14.735685,1121,empty
2023-07-07 14:59:14.793137,1154,empty
2023-07-07 14:59:14.849231,1089,empty
2023-07-07 14:59:14.901574,1103,empty
2023-07-07 14:59:14.970899,1135,empty
2023-07-07 14:59:15.047843,1150,empty
2023-07-07 14:59:15.099554,1105,empty
2023-07-07 14:59:15.180853,1099,empty
2023-07-07 14:59:15.271363,1154,empty
2023-07-07 14:59:15.362426,1173,empty
2023-07-07 14:59:15.441473,1145,empty
2023-07-07 14:59:15.527404,1093,empty
2023-07-07 14:59:15.646800,1083,empty
2023-07-07 14:59:17.351467,1071,empty
2023-07-07 14:59:17.422568,1079,empty
2023-07-07 14:59:17.457322,1108,empty
2023-07-07 14:59:17.540303,1117,empty
2023-07-07 14:59:17.587241,1155,empty
2023-07-07 14:59:17.651801,1108,empty
2023-07-07 14:59:17.715273,1058,empty
2023-07-07 14:59:17.771816,1114,empty
2023-07-07 14:59:17.829787,1060,empty
2023-07-07 14:59:17.903040,1145,empty
2023-07-07 14:59:17.979853,1087,empty
2023-07-07 14:59:18.038086,1091,empty
2023-07-07 14:59:18.108100,1173,empty
2023-07-07 14:59:18.190885,1141,empty
2023-07-07 14:59:18.293105,1063,empty
2023-07-07 14:59:18.356541,1180,empty
2023-07-07 14:59:18.447030,1140,empty
2023-07-07 14:59:19.189759,1133,empty
2023-07-07 14:59:19.234045,1119,empty
2023-07-07 14:59:19.300704,1106,empty
2023-07-07 14:59:19.356632,1100,empty
2023-07-07 14:59:19.370077,1112,empty
2023-07-07 14:59:19.408010,1177,empty
2023-07-07 14:59:19.444768,1136,empty
2023-07-07 14:59:19.516008,1035,empty
2023-07-07 14:59:19.585258,1155,empty
2023-07-07 14:59:19.651081,1100,empty
2023-07-07 14:59:19.716319,1153,empty
2023-07-07 14:59:19.784369,1131,empty
2023-07-07 14:59:19.877349,1173,empty
2023-07-07 14:59:19.953429,1124,empty
2023-07-07 14:59:20.030931,1039,empty
2023-07-07 14:59:20.128649,1112,empty
2023-07-07 14:59:20.265745,1089,empty
2023-07-07 14:59:21.208494,1106,hand
2023-07-07 14:59:21.247349,1057,hand
2023-07-07 14:59:21.306495,1089,hand
2023-07-07 14:59:21.343079,1144,hand
2023-07-07 14:59:21.361112,1138,hand
2023-07-07 14:59:21.417254,1118,hand
2023-07-07 14:59:21.467978,1104,hand
2023-07-07 14:59:21.521468,1090,hand
2023-07-07 14:59:21.581335,1069,hand
2023-07-07 14:59:21.645793,1063,hand
2023-07-07 14:59:21.735817,1161,hand
2023-07-07 14:59:21.802210,1069,hand
2023-07-07 14:59:21.902373,1166,hand
2023-07-07 14:59:22.023353,1106,hand
2023-07-07 14:59:22.791744,1981,hand
2023-07-07 14:59:22.849773,3768,hand
2023-07-07 14:59:22.862925,4486,hand
2023-07-07 14:59:22.881282,7249,hand
2023-07-07 14:59:22.972138,7334,hand
2023-07-07 14:59:23.026997,7488,hand
2023-07-07 14:59:23.083539,7725,hand
2023-07-07 14:59:23.154950,7549,hand
2023-07-07 14:59:23.212483,7656,hand
2023-07-07 14:59:23.231236,7858,hand
2023-07-07 14:59:23.281509,7558,hand
2023-07-07 14:59:23.342669,7632,hand
2023-07-07 14:59:23.362190,7693,hand
2023-07-07 14:59:23.412396,7680,hand
2023-07-07 14:59:23.432309,7718,hand
2023-07-07 14:59:23.477102,7816,hand
2023-07-07 14:59:23.497147,7715,hand
2023-07-07 14:59:23.548659,7666,hand
2023-07-07 14:59:23.577763,7653,hand
2023-07-07 14:59:23.639517,7764,hand
2023-07-07 14:59:23.649149,7731,hand
2023-07-07 14:59:23.666349,7509,hand
2023-07-07 14:59:23.679884,7725,hand
2023-07-07 14:59:23.693265,7700,hand
2023-07-07 14:59:23.706743,7712,hand
2023-07-07 14:59:23.719019,7724,hand
2023-07-07 14:59:23.736830,7665,hand
2023-07-07 14:59:23.752652,7795,hand
2023-07-07 14:59:23.774790,8044,hand
2023-07-07 14:59:23.808234,8023,hand
2023-07-07 14:59:23.821869,8024,hand
2023-07-07 14:59:23.842877,7907,hand
2023-07-07 14:59:23.865125,7942,hand
2023-07-07 14:59:23.885209,7766,hand
2023-07-07 14:59:24.055919,7598,hand
2023-07-07 14:59:24.105039,7508,hand
2023-07-07 14:59:24.156889,7251,hand
2023-07-07 14:59:24.214563,7384,hand
2023-07-07 14:59:24.303057,7157,hand
2023-07-07 14:59:24.379455,7301,hand
2023-07-07 14:59:24.432450,7360,hand
2023-07-07 14:59:24.517898,7484,hand
2023-07-07 14:59:24.614999,7477,hand
2023-07-07 14:59:24.694539,7851,hand
2023-07-07 14:59:24.764868,7099,hand
2023-07-07 14:59:24.834057,5204,hand
2023-07-07 14:59:24.923446,3683,hand
2023-07-07 14:59:24.992603,3693,hand
2023-07-07 14:59:25.101958,4917,hand
2023-07-07 14:59:25.179584,4809,hand
2023-07-07 14:59:25.253288,4377,hand
2023-07-07 14:59:25.348686,4137,hand
2023-07-07 14:59:25.922217,3666,hand
2023-07-07 14:59:25.954170,3794,hand
2023-07-07 14:59:25.986576,3568,hand
2023-07-07 14:59:26.020851,3231,hand
2023-07-07 14:59:26.070634,2118,hand
2023-07-07 14:59:26.123352,3002,hand
2023-07-07 14:59:26.174428,4350,hand
2023-07-07 14:59:26.220576,5713,hand
2023-07-07 14:59:26.279256,5527,hand
2023-07-07 14:59:26.338242,5242,hand
2023-07-07 14:59:26.391051,4983,hand
2023-07-07 14:59:26.466862,4860,hand
2023-07-07 14:59:26.538032,4889,hand
2023-07-07 14:59:26.612804,4946,hand
2023-07-07 14:59:26.702554,4907,hand
2023-07-07 14:59:26.771746,4928,hand
2023-07-07 14:59:26.837487,4862,hand
2023-07-07 14:59:26.955829,4843,hand
2023-07-07 14:59:27.038029,4902,food
2023-07-07 14:59:27.115314,4883,food
2023-07-07 14:59:27.187045,4849,food
2023-07-07 14:59:27.290860,4815,food
2023-07-07 14:59:27.366435,4891,food
2023-07-07 14:59:27.439267,4916,food
2023-07-07 14:59:27.546906,4972,food
2023-07-07 14:59:28.510188,5001,food
2023-07-07 14:59:28.569663,4959,food
2023-07-07 14:59:28.603922,4905,food
