Timestamp,Number of Pixels in Range,food?
2023-06-29 13:47:00.424823,976,empty
2023-06-29 13:47:00.473462,982,empty
2023-06-29 13:47:00.528156,976,empty
2023-06-29 13:47:00.586764,1002,empty
2023-06-29 13:47:00.614534,242,empty
2023-06-29 13:47:00.664437,213,empty
2023-06-29 13:47:00.679261,261,empty
2023-06-29 13:47:00.714113,225,empty
2023-06-29 13:47:00.752132,256,empty
2023-06-29 13:47:00.827426,251,empty
2023-06-29 13:47:00.871476,228,empty
2023-06-29 13:47:00.893986,249,empty
2023-06-29 13:47:00.969437,234,empty
2023-06-29 13:47:00.990291,265,empty
2023-06-29 13:47:01.102063,1020,empty
2023-06-29 13:47:01.165330,966,empty
2023-06-29 13:47:01.217625,1024,empty
2023-06-29 13:47:01.279362,948,empty
2023-06-29 13:47:01.353295,1044,empty
2023-06-29 13:47:01.403567,1046,empty
2023-06-29 13:47:01.472895,990,empty
2023-06-29 13:47:01.539858,982,empty
2023-06-29 13:47:01.608836,1006,empty
2023-06-29 13:47:01.652936,1022,empty
2023-06-29 13:47:01.719031,998,empty
2023-06-29 13:47:01.808879,1018,empty
2023-06-29 13:47:01.870987,968,empty
2023-06-29 13:47:01.920127,982,empty
2023-06-29 13:47:01.984530,1016,empty
2023-06-29 13:47:02.052498,986,empty
2023-06-29 13:47:02.114210,1062,empty
2023-06-29 13:47:02.170720,968,empty
2023-06-29 13:47:02.232908,998,empty
2023-06-29 13:47:02.295519,956,empty
2023-06-29 13:47:02.358274,1004,empty
2023-06-29 13:47:02.402832,1020,empty
2023-06-29 13:47:02.461664,926,empty
2023-06-29 13:47:02.517859,944,empty
2023-06-29 13:47:02.578066,986,empty
2023-06-29 13:47:02.625413,1026,empty
2023-06-29 13:47:02.683823,1026,empty
2023-06-29 13:47:02.749136,984,empty
2023-06-29 13:47:02.792154,1010,empty
2023-06-29 13:47:02.858975,1036,empty
2023-06-29 13:47:02.924621,1020,empty
2023-06-29 13:47:02.969314,986,empty
2023-06-29 13:47:03.037756,1040,empty
2023-06-29 13:47:03.112322,988,empty
2023-06-29 13:47:03.192947,964,empty
2023-06-29 13:47:03.256883,996,empty
2023-06-29 13:47:03.330210,990,empty
2023-06-29 13:47:03.398932,1010,empty
2023-06-29 13:47:03.485792,1038,empty
2023-06-29 13:47:03.552767,1008,empty
2023-06-29 13:47:03.618929,970,empty
2023-06-29 13:47:03.689761,1042,empty
2023-06-29 13:47:03.755982,982,empty
2023-06-29 13:47:03.821536,970,empty
2023-06-29 13:47:03.906058,972,empty
2023-06-29 13:47:03.971619,1066,empty
2023-06-29 13:47:04.043345,1004,empty
