Timestamp,Number of Pixels in Range,food?
2023-06-29 13:48:36.239544,1122,empty
2023-06-29 13:48:36.285974,1100,empty
2023-06-29 13:48:36.342764,1090,empty
2023-06-29 13:48:36.400740,1112,empty
2023-06-29 13:48:36.449289,332,empty
2023-06-29 13:48:36.475627,1068,empty
2023-06-29 13:48:36.521002,306,empty
2023-06-29 13:48:36.547855,1118,empty
2023-06-29 13:48:36.602063,1098,empty
2023-06-29 13:48:36.639178,325,empty
2023-06-29 13:48:36.669255,1090,empty
2023-06-29 13:48:36.708244,351,empty
2023-06-29 13:48:36.738133,1118,empty
2023-06-29 13:48:36.774838,284,empty
2023-06-29 13:48:36.803685,1080,empty
2023-06-29 13:48:36.843474,285,empty
2023-06-29 13:48:36.877193,1120,empty
2023-06-29 13:48:36.919434,298,empty
2023-06-29 13:48:36.948332,1090,empty
2023-06-29 13:48:36.990251,311,empty
2023-06-29 13:48:37.018303,1124,empty
2023-06-29 13:48:37.054167,347,empty
2023-06-29 13:48:37.081955,1112,empty
2023-06-29 13:48:37.119888,324,empty
2023-06-29 13:48:37.150895,1086,empty
2023-06-29 13:48:37.186680,306,empty
2023-06-29 13:48:37.218056,1138,empty
2023-06-29 13:48:37.258008,296,empty
2023-06-29 13:48:37.286222,1116,empty
2023-06-29 13:48:37.327506,261,empty
2023-06-29 13:48:37.356803,1094,empty
2023-06-29 13:48:37.396332,349,empty
2023-06-29 13:48:37.425163,1144,empty
2023-06-29 13:48:37.458287,296,empty
2023-06-29 13:48:37.486065,1130,empty
2023-06-29 13:48:37.522533,354,empty
2023-06-29 13:48:37.553013,1090,empty
2023-06-29 13:48:37.587344,329,empty
2023-06-29 13:48:37.615078,1104,empty
2023-06-29 13:48:37.656064,360,empty
2023-06-29 13:48:37.684367,1128,empty
2023-06-29 13:48:37.718135,290,empty
2023-06-29 13:48:37.747730,1094,empty
2023-06-29 13:48:37.789083,296,empty
2023-06-29 13:48:37.817894,1072,empty
2023-06-29 13:48:37.857013,333,empty
2023-06-29 13:48:37.887066,1058,empty
2023-06-29 13:48:37.926410,327,empty
2023-06-29 13:48:37.955647,1100,empty
2023-06-29 13:48:37.995762,323,empty
2023-06-29 13:48:38.024433,1114,empty
2023-06-29 13:48:38.063395,320,empty
2023-06-29 13:48:38.090946,1120,empty
2023-06-29 13:48:38.124207,310,empty
2023-06-29 13:48:38.151391,1108,empty
2023-06-29 13:48:38.188593,324,empty
2023-06-29 13:48:38.215652,1106,empty
2023-06-29 13:48:38.251464,329,empty
2023-06-29 13:48:38.280828,1098,empty
2023-06-29 13:48:38.320145,351,empty
2023-06-29 13:48:38.349964,1088,empty
2023-06-29 13:48:38.387502,314,empty
2023-06-29 13:48:38.416708,1082,empty
2023-06-29 13:48:38.453972,325,empty
2023-06-29 13:48:38.482726,1096,empty
2023-06-29 13:48:38.519702,300,empty
2023-06-29 13:48:38.550763,1102,empty
2023-06-29 13:48:38.585814,329,empty
2023-06-29 13:48:38.613929,1114,empty
2023-06-29 13:48:38.656244,314,empty
2023-06-29 13:48:38.686142,1098,empty
2023-06-29 13:48:38.723587,330,empty
2023-06-29 13:48:38.753440,1104,empty
2023-06-29 13:48:38.797094,327,empty
2023-06-29 13:48:38.819105,1108,empty
2023-06-29 13:48:38.866893,330,empty
2023-06-29 13:48:38.897329,1126,empty
2023-06-29 13:48:38.938342,330,empty
2023-06-29 13:48:38.969854,1152,empty
2023-06-29 13:48:39.006564,326,empty
2023-06-29 13:48:39.035106,1116,empty
2023-06-29 13:48:39.071278,347,empty
2023-06-29 13:48:39.101804,1138,empty
2023-06-29 13:48:39.139209,324,empty
2023-06-29 13:48:39.168216,1110,empty
2023-06-29 13:48:39.201753,313,empty
2023-06-29 13:48:39.229438,1074,empty
2023-06-29 13:48:39.264989,303,empty
2023-06-29 13:48:39.293805,1080,empty
2023-06-29 13:48:39.333221,299,empty
2023-06-29 13:48:39.361746,1076,empty
2023-06-29 13:48:39.396267,285,empty
2023-06-29 13:48:39.423732,1126,empty
2023-06-29 13:48:39.458685,302,empty
2023-06-29 13:48:39.486033,1120,empty
2023-06-29 13:48:39.525347,305,empty
2023-06-29 13:48:39.550954,1100,empty
2023-06-29 13:48:39.587164,352,empty
2023-06-29 13:48:39.614691,1110,empty
2023-06-29 13:48:39.653447,356,empty
2023-06-29 13:48:39.688051,1104,empty
2023-06-29 13:48:39.727962,301,empty
2023-06-29 13:48:39.755878,1102,empty
2023-06-29 13:48:39.796726,352,empty
2023-06-29 13:48:39.825532,1112,empty
