Timestamp,Number of Pixels in Range,food?
2023-07-07 14:57:20.587613,1092,empty
2023-07-07 14:57:20.636332,1071,empty
2023-07-07 14:57:20.693657,1067,empty
2023-07-07 14:57:20.750368,1164,empty
2023-07-07 14:57:20.772087,1047,empty
2023-07-07 14:57:20.789813,1138,empty
2023-07-07 14:57:20.856264,1065,empty
2023-07-07 14:57:20.883463,1148,empty
2023-07-07 14:57:20.952860,1039,empty
2023-07-07 14:57:21.015080,1122,empty
2023-07-07 14:57:21.031563,1100,empty
2023-07-07 14:57:21.052234,1123,empty
2023-07-07 14:57:21.091068,1159,empty
2023-07-07 14:57:21.107883,1141,empty
2023-07-07 14:57:21.123693,1074,empty
2023-07-07 14:57:21.137421,1113,empty
2023-07-07 14:57:21.148571,1101,empty
2023-07-07 14:57:21.160927,1078,empty
2023-07-07 14:57:21.172787,1173,empty
2023-07-07 14:57:21.190876,1155,empty
2023-07-07 14:57:21.232979,1143,empty
2023-07-07 14:57:21.248388,1086,empty
2023-07-07 14:57:21.361528,1091,empty
2023-07-07 14:57:21.416570,1147,empty
2023-07-07 14:57:21.473664,1147,empty
2023-07-07 14:57:21.525236,1073,empty
2023-07-07 14:57:21.579724,1090,empty
2023-07-07 14:57:21.634108,1062,empty
2023-07-07 14:57:21.709673,1035,empty
2023-07-07 14:57:21.786780,1121,empty
2023-07-07 14:57:21.851976,1175,empty
2023-07-07 14:57:21.921107,1115,empty
2023-07-07 14:57:21.984299,1115,empty
2023-07-07 14:57:22.051032,1140,empty
2023-07-07 14:57:22.120424,1153,empty
2023-07-07 14:57:22.185368,1134,empty
2023-07-07 14:57:22.248466,1144,empty
2023-07-07 14:57:22.316979,1160,empty
2023-07-07 14:57:22.385926,1156,empty
2023-07-07 14:57:22.453014,1075,empty
2023-07-07 14:57:22.521336,1072,empty
2023-07-07 14:57:22.592563,1175,empty
2023-07-07 14:57:22.663965,1132,empty
2023-07-07 14:57:22.758550,1093,empty
2023-07-07 14:57:22.837527,1156,empty
2023-07-07 14:57:22.916034,1041,empty
2023-07-07 14:57:22.992858,1137,empty
2023-07-07 14:57:23.097705,1144,empty
2023-07-07 14:57:23.187860,1087,empty
2023-07-07 14:57:23.299089,1171,empty
2023-07-07 14:57:24.660437,1037,empty
2023-07-07 14:57:24.731086,1107,empty
2023-07-07 14:57:24.881292,1089,empty
2023-07-07 14:57:24.897894,1165,empty
2023-07-07 14:57:24.912360,1123,empty
2023-07-07 14:57:25.004784,1043,empty
2023-07-07 14:57:25.062233,1167,empty
2023-07-07 14:57:25.118203,1105,empty
2023-07-07 14:57:25.180093,1129,empty
2023-07-07 14:57:25.195022,1160,empty
2023-07-07 14:57:25.246023,1188,empty
2023-07-07 14:57:25.264804,1123,empty
2023-07-07 14:57:25.325092,1091,empty
2023-07-07 14:57:25.378482,1135,empty
2023-07-07 14:57:25.401885,1129,empty
2023-07-07 14:57:25.448830,1080,empty
2023-07-07 14:57:25.468375,1144,empty
2023-07-07 14:57:25.526292,1184,empty
2023-07-07 14:57:25.546366,1069,empty
2023-07-07 14:57:25.602354,1073,empty
2023-07-07 14:57:25.663625,1055,empty
2023-07-07 14:57:25.702172,1014,empty
2023-07-07 14:57:25.750228,1045,empty
2023-07-07 14:57:25.892029,1132,empty
2023-07-07 14:57:25.950149,1190,empty
2023-07-07 14:57:26.011082,1160,empty
2023-07-07 14:57:26.142700,1137,empty
2023-07-07 14:57:26.226836,1108,empty
2023-07-07 14:57:26.326957,1180,empty
2023-07-07 14:57:27.559000,1048,empty
2023-07-07 14:57:27.657557,1149,empty
2023-07-07 14:57:27.729476,1081,empty
2023-07-07 14:57:27.901109,1145,empty
2023-07-07 14:57:28.428685,1130,empty
2023-07-07 14:57:28.496710,1009,empty
2023-07-07 14:57:28.560838,1146,empty
2023-07-07 14:57:28.627693,1168,empty
2023-07-07 14:57:28.646037,1203,empty
2023-07-07 14:57:28.690583,1117,empty
2023-07-07 14:57:28.733928,1100,empty
2023-07-07 14:57:28.793757,1122,empty
2023-07-07 14:57:28.851789,1183,empty
2023-07-07 14:57:28.942793,1139,empty
2023-07-07 14:57:29.007289,1136,empty
2023-07-07 14:57:29.060535,1158,empty
2023-07-07 14:57:29.145869,1066,empty
2023-07-07 14:57:29.235209,1152,empty
2023-07-07 14:57:29.315731,1140,empty
2023-07-07 14:57:29.399353,1197,empty
2023-07-07 14:57:29.486400,1173,empty
2023-07-07 14:57:29.609517,1098,empty
2023-07-07 14:57:30.875937,1175,empty
2023-07-07 14:57:30.951011,1080,empty
2023-07-07 14:57:31.019676,1113,empty
2023-07-07 14:57:31.139398,1189,empty
2023-07-07 14:57:31.185755,1069,empty
2023-07-07 14:57:31.232124,1143,empty
2023-07-07 14:57:31.301219,1157,empty
2023-07-07 14:57:31.368180,1143,empty
2023-07-07 14:57:31.440356,1111,empty
2023-07-07 14:57:31.492452,1076,empty
2023-07-07 14:57:31.545998,1069,empty
2023-07-07 14:57:31.639961,1146,empty
2023-07-07 14:57:31.727088,1115,empty
2023-07-07 14:57:31.776700,1053,empty
2023-07-07 14:57:31.850634,1130,empty
2023-07-07 14:57:31.924522,1105,empty
2023-07-07 14:57:32.068786,1043,empty
2023-07-07 14:57:32.173186,1086,empty
2023-07-07 14:57:34.011737,1174,empty
2023-07-07 14:57:34.033527,1139,empty
2023-07-07 14:57:34.136582,1196,empty
2023-07-07 14:57:34.226699,1154,empty
2023-07-07 14:57:34.255069,1112,empty
2023-07-07 14:57:34.327123,1127,empty
2023-07-07 14:57:34.420944,1111,empty
2023-07-07 14:57:34.431798,1002,empty
2023-07-07 14:57:34.447279,1117,empty
2023-07-07 14:57:34.468270,1118,empty
2023-07-07 14:57:34.481858,1146,empty
2023-07-07 14:57:34.499085,1139,empty
2023-07-07 14:57:34.514578,1122,empty
2023-07-07 14:57:34.526260,1152,empty
2023-07-07 14:57:34.549765,1070,empty
2023-07-07 14:57:34.610375,1166,empty
2023-07-07 14:57:34.629983,1158,empty
2023-07-07 14:57:34.669555,1182,empty
2023-07-07 14:57:34.712026,1164,empty
2023-07-07 14:57:34.728780,1155,empty
2023-07-07 14:57:34.794092,1114,empty
2023-07-07 14:57:34.828701,1180,empty
2023-07-07 14:57:34.993149,1085,empty
2023-07-07 14:57:35.058025,1024,empty
2023-07-07 14:57:35.128195,1156,empty
2023-07-07 14:57:35.188481,1146,empty
2023-07-07 14:57:35.267979,1063,empty
2023-07-07 14:57:35.359724,1159,empty
2023-07-07 14:57:35.453940,1065,empty
2023-07-07 14:57:35.547720,1124,empty
2023-07-07 14:57:36.125503,1173,empty
2023-07-07 14:57:36.155801,1102,empty
2023-07-07 14:57:36.244020,1171,empty
2023-07-07 14:57:36.315151,1067,empty
2023-07-07 14:57:36.380499,1081,empty
2023-07-07 14:57:36.436761,1153,empty
2023-07-07 14:57:36.493041,1067,empty
2023-07-07 14:57:36.518008,1196,empty
2023-07-07 14:57:36.579133,1156,empty
2023-07-07 14:57:36.598317,1095,empty
2023-07-07 14:57:36.671450,1135,empty
2023-07-07 14:57:36.690322,1092,empty
2023-07-07 14:57:36.726627,1081,empty
2023-07-07 14:57:36.738033,1016,empty
2023-07-07 14:57:36.752754,1090,empty
2023-07-07 14:57:36.767669,1073,empty
2023-07-07 14:57:36.779819,1169,empty
2023-07-07 14:57:36.792766,1084,empty
2023-07-07 14:57:36.805495,1180,empty
2023-07-07 14:57:36.819521,1089,empty
2023-07-07 14:57:36.832082,1121,empty
2023-07-07 14:57:36.861171,1116,empty
2023-07-07 14:57:36.873830,1105,empty
2023-07-07 14:57:36.911654,1082,empty
2023-07-07 14:57:36.958842,1137,empty
2023-07-07 14:57:36.975921,1082,empty
2023-07-07 14:57:37.088908,1104,hand
2023-07-07 14:57:37.137907,1078,hand
2023-07-07 14:57:37.191865,1142,hand
2023-07-07 14:57:37.245037,1160,hand
2023-07-07 14:57:37.293832,1199,hand
2023-07-07 14:57:37.358170,995,hand
2023-07-07 14:57:37.452736,1179,hand
2023-07-07 14:57:37.516784,1116,hand
2023-07-07 14:57:37.596284,1067,hand
2023-07-07 14:57:37.676952,1585,hand
2023-07-07 14:57:37.746933,2311,hand
2023-07-07 14:57:37.826753,3076,hand
2023-07-07 14:57:37.913382,4005,hand
2023-07-07 14:57:37.996091,3646,hand
2023-07-07 14:57:38.100228,3715,hand
2023-07-07 14:57:38.872917,4069,hand
2023-07-07 14:57:38.912841,4330,hand
2023-07-07 14:57:38.967575,5671,hand
2023-07-07 14:57:39.003059,6707,hand
2023-07-07 14:57:39.016921,6718,hand
2023-07-07 14:57:39.050253,6217,hand
2023-07-07 14:57:39.116479,5642,hand
2023-07-07 14:57:39.164087,4931,hand
2023-07-07 14:57:39.216570,4021,hand
2023-07-07 14:57:39.268040,3240,hand
2023-07-07 14:57:39.322927,2972,hand
2023-07-07 14:57:39.374309,2835,hand
2023-07-07 14:57:39.446341,2646,hand
2023-07-07 14:57:39.499070,3030,hand
2023-07-07 14:57:39.584531,4051,hand
2023-07-07 14:57:39.657699,6655,hand
2023-07-07 14:57:39.727765,6677,hand
2023-07-07 14:57:39.787181,6820,hand
2023-07-07 14:57:39.896547,7611,hand
2023-07-07 14:57:39.986513,5404,hand
2023-07-07 14:57:40.092063,5139,hand
2023-07-07 14:57:40.620733,5750,hand
2023-07-07 14:57:40.682361,5298,hand
2023-07-07 14:57:40.718864,5037,hand
2023-07-07 14:57:40.751679,4826,hand
2023-07-07 14:57:40.770713,2990,hand
2023-07-07 14:57:40.869270,2337,hand
2023-07-07 14:57:40.913045,2011,hand
2023-07-07 14:57:40.985848,1956,hand
2023-07-07 14:57:41.040716,3192,hand
2023-07-07 14:57:41.086967,3528,hand
2023-07-07 14:57:41.183573,4598,hand
2023-07-07 14:57:41.267195,4264,hand
2023-07-07 14:57:41.327479,4432,hand
2023-07-07 14:57:41.400025,4221,hand
2023-07-07 14:57:41.490809,4080,hand
2023-07-07 14:57:41.564963,4302,hand
2023-07-07 14:57:41.635936,4435,hand
2023-07-07 14:57:41.714695,4430,hand
2023-07-07 14:57:41.839628,4410,hand
2023-07-07 14:57:41.915926,4441,hand
2023-07-07 14:57:42.002834,4390,food
2023-07-07 14:57:42.867028,4379,food
2023-07-07 14:57:42.903142,4394,food
2023-07-07 14:57:42.941203,4425,food
2023-07-07 14:57:42.999789,4423,food
2023-07-07 14:57:43.016147,4349,food
2023-07-07 14:57:43.051377,4435,food
2023-07-07 14:57:43.088390,4407,food
2023-07-07 14:57:43.136279,4373,food
2023-07-07 14:57:43.188422,4397,food
2023-07-07 14:57:43.310064,4402,food
2023-07-07 14:57:43.356689,4414,food
2023-07-07 14:57:43.407269,4392,food
2023-07-07 14:57:43.461032,4398,food
2023-07-07 14:57:43.605003,4358,food
2023-07-07 14:57:43.669465,4424,food
2023-07-07 14:57:43.771906,4427,food
2023-07-07 14:57:43.836076,4399,food
2023-07-07 14:57:44.686281,4390,food
2023-07-07 14:57:44.723197,4444,food
2023-07-07 14:57:44.760706,4379,food
2023-07-07 14:57:44.818739,4368,food
2023-07-07 14:57:44.839942,4460,food
2023-07-07 14:57:44.875807,4429,food
2023-07-07 14:57:44.928917,4339,food
2023-07-07 14:57:44.973123,4415,food
2023-07-07 14:57:45.026214,4434,food
2023-07-07 14:57:45.077404,4372,food
2023-07-07 14:57:45.126110,4358,food
2023-07-07 14:57:45.175133,4444,food
2023-07-07 14:57:45.250851,4373,food
2023-07-07 14:57:45.312215,4409,food
2023-07-07 14:57:45.398976,4351,food
2023-07-07 14:57:45.467789,4362,food
2023-07-07 14:57:45.548464,4417,food
2023-07-07 14:57:45.639845,4444,food
2023-07-07 14:57:45.753907,4433,food
2023-07-07 14:57:45.838990,4389,food
2023-07-07 14:57:46.322814,4389,food
2023-07-07 14:57:46.335540,4420,food
2023-07-07 14:57:46.349457,4424,food
2023-07-07 14:57:46.456499,4363,food
2023-07-07 14:57:46.513208,4417,food
2023-07-07 14:57:46.573113,4392,food
2023-07-07 14:57:46.631621,4438,food
2023-07-07 14:57:46.695829,4409,food
2023-07-07 14:57:46.712771,4396,food
2023-07-07 14:57:46.764454,4418,food
2023-07-07 14:57:46.783215,4401,food
2023-07-07 14:57:46.824794,4404,food
2023-07-07 14:57:46.844360,4389,food
2023-07-07 14:57:46.899708,4399,food
2023-07-07 14:57:46.956236,4350,food
2023-07-07 14:57:46.976916,4435,food
2023-07-07 14:57:47.029254,4447,food
2023-07-07 14:57:47.047597,4440,food
2023-07-07 14:57:47.098743,4417,food
2023-07-07 14:57:47.142398,4393,food
2023-07-07 14:57:47.203974,4382,food
2023-07-07 14:57:47.275193,4357,food
2023-07-07 14:57:47.287956,4487,food
2023-07-07 14:57:47.304989,4474,food
2023-07-07 14:57:47.338591,4371,food
2023-07-07 14:57:47.354122,4422,food
2023-07-07 14:57:47.370643,4424,food
2023-07-07 14:57:47.430195,4374,food
2023-07-07 14:57:47.443898,4435,food
2023-07-07 14:57:47.457544,4405,food
2023-07-07 14:57:47.473083,4416,food
2023-07-07 14:57:47.486759,4380,food
2023-07-07 14:57:47.502718,4397,food
2023-07-07 14:57:47.552284,4404,food
2023-07-07 14:57:47.567395,4359,food
2023-07-07 14:57:47.610407,4411,food
2023-07-07 14:57:47.623388,4494,food
2023-07-07 14:57:47.668883,4434,food
2023-07-07 14:57:47.742356,4386,food
2023-07-07 14:57:47.773416,4378,food
2023-07-07 14:57:47.789407,4440,food
2023-07-07 14:57:47.827248,4453,food
2023-07-07 14:57:47.867397,4358,food
2023-07-07 14:57:47.914303,4379,food
2023-07-07 14:57:47.968797,4471,food
2023-07-07 14:57:47.986496,4413,food
2023-07-07 14:57:48.019652,4438,food
2023-07-07 14:57:48.034293,4440,food
2023-07-07 14:57:48.072594,4367,food
2023-07-07 14:57:48.132273,4419,food
2023-07-07 14:57:48.183127,4432,food
2023-07-07 14:57:48.194829,4344,food
2023-07-07 14:57:48.242568,4426,food
2023-07-07 14:57:48.264199,4319,food
2023-07-07 14:57:48.312477,4420,food
2023-07-07 14:57:48.329822,4403,food
2023-07-07 14:57:48.366344,4428,food
2023-07-07 14:57:48.378780,4461,food
2023-07-07 14:57:48.419688,4403,food
2023-07-07 14:57:48.431470,4421,food
2023-07-07 14:57:48.474031,4471,food
