Timestamp,Number of Pixels in Range,food?
2023-07-07 15:13:06.887083,531,empty
2023-07-07 15:13:06.939387,530,empty
2023-07-07 15:13:06.954878,557,empty
2023-07-07 15:13:06.992779,533,empty
2023-07-07 15:13:07.007650,555,empty
2023-07-07 15:13:07.024491,554,empty
2023-07-07 15:13:07.040748,544,empty
2023-07-07 15:13:07.058874,542,empty
2023-07-07 15:13:07.090267,513,empty
2023-07-07 15:13:07.102707,532,empty
2023-07-07 15:13:07.145497,523,empty
2023-07-07 15:13:07.161955,536,empty
2023-07-07 15:13:07.175779,556,empty
2023-07-07 15:13:07.189232,554,empty
2023-07-07 15:13:07.209459,511,empty
2023-07-07 15:13:07.227342,556,empty
2023-07-07 15:13:07.323289,492,empty
2023-07-07 15:13:07.370789,515,empty
2023-07-07 15:13:07.417927,522,empty
2023-07-07 15:13:07.432403,509,empty
2023-07-07 15:13:07.537681,536,empty
2023-07-07 15:13:07.589222,534,empty
2023-07-07 15:13:07.638915,484,empty
2023-07-07 15:13:07.656006,538,empty
2023-07-07 15:13:07.709570,558,empty
2023-07-07 15:13:07.726462,554,empty
2023-07-07 15:13:07.800432,521,empty
2023-07-07 15:13:07.864467,524,empty
2023-07-07 15:13:07.934769,547,empty
2023-07-07 15:13:08.015566,523,empty
2023-07-07 15:13:08.036696,538,empty
2023-07-07 15:13:08.057556,498,empty
2023-07-07 15:13:08.075631,514,empty
2023-07-07 15:13:08.244085,563,empty
2023-07-07 15:13:08.321270,503,empty
2023-07-07 15:13:08.398082,500,empty
2023-07-07 15:13:08.481298,496,empty
2023-07-07 15:13:08.576031,534,empty
2023-07-07 15:13:08.691134,502,empty
2023-07-07 15:13:09.185725,517,empty
2023-07-07 15:13:09.214434,539,empty
2023-07-07 15:13:09.321513,559,empty
2023-07-07 15:13:09.390277,566,empty
2023-07-07 15:13:09.464085,494,empty
2023-07-07 15:13:09.530363,525,empty
2023-07-07 15:13:09.585814,530,empty
2023-07-07 15:13:09.605168,516,empty
2023-07-07 15:13:09.617768,518,empty
2023-07-07 15:13:09.667649,532,empty
2023-07-07 15:13:09.686907,545,empty
2023-07-07 15:13:09.738273,561,empty
2023-07-07 15:13:09.761040,516,empty
2023-07-07 15:13:09.814792,569,empty
2023-07-07 15:13:09.892822,567,empty
2023-07-07 15:13:09.903617,541,empty
2023-07-07 15:13:09.917420,530,empty
2023-07-07 15:13:09.936696,542,empty
2023-07-07 15:13:09.960036,543,empty
2023-07-07 15:13:09.981922,519,empty
2023-07-07 15:13:10.007257,488,empty
2023-07-07 15:13:10.031435,547,empty
2023-07-07 15:13:10.049359,527,empty
2023-07-07 15:13:10.069406,552,empty
2023-07-07 15:13:10.096002,525,empty
2023-07-07 15:13:10.147471,545,empty
2023-07-07 15:13:10.173638,512,empty
2023-07-07 15:13:10.226874,514,empty
2023-07-07 15:13:10.254710,493,empty
2023-07-07 15:13:10.279702,517,empty
2023-07-07 15:13:10.304025,506,empty
2023-07-07 15:13:10.328535,528,empty
2023-07-07 15:13:10.447702,527,empty
2023-07-07 15:13:10.469951,596,empty
2023-07-07 15:13:10.490618,529,empty
2023-07-07 15:13:10.569471,561,empty
2023-07-07 15:13:10.588714,573,empty
2023-07-07 15:13:10.673198,566,empty
2023-07-07 15:13:10.691758,503,empty
2023-07-07 15:13:10.765630,565,empty
2023-07-07 15:13:10.786072,520,empty
2023-07-07 15:13:10.938288,559,empty
2023-07-07 15:13:11.001815,485,empty
2023-07-07 15:13:11.065469,499,empty
2023-07-07 15:13:11.127500,572,empty
2023-07-07 15:13:11.213253,522,empty
2023-07-07 15:13:11.301664,547,empty
2023-07-07 15:13:11.369826,514,empty
2023-07-07 15:13:11.463157,536,empty
2023-07-07 15:13:11.575458,507,empty
2023-07-07 15:13:12.407174,557,empty
2023-07-07 15:13:12.441957,518,empty
2023-07-07 15:13:12.478899,534,empty
2023-07-07 15:13:12.514066,540,empty
2023-07-07 15:13:12.529415,606,empty
2023-07-07 15:13:12.585492,500,empty
2023-07-07 15:13:12.636787,522,empty
2023-07-07 15:13:12.692400,524,empty
2023-07-07 15:13:12.737460,507,empty
2023-07-07 15:13:12.789291,521,empty
2023-07-07 15:13:12.841571,507,empty
2023-07-07 15:13:12.913175,484,empty
2023-07-07 15:13:12.968683,530,empty
2023-07-07 15:13:13.035457,513,empty
2023-07-07 15:13:13.091186,516,empty
2023-07-07 15:13:13.185138,544,empty
2023-07-07 15:13:13.237184,490,empty
2023-07-07 15:13:13.315197,545,empty
2023-07-07 15:13:13.383872,515,empty
2023-07-07 15:13:13.466210,546,empty
2023-07-07 15:13:13.518444,516,empty
2023-07-07 15:13:13.596048,529,empty
2023-07-07 15:13:13.695964,588,empty
2023-07-07 15:13:13.764252,559,empty
2023-07-07 15:13:13.838077,571,empty
2023-07-07 15:13:13.910408,541,empty
2023-07-07 15:13:14.026966,494,empty
2023-07-07 15:13:14.128981,517,empty
2023-07-07 15:13:14.863889,467,empty
2023-07-07 15:13:14.898453,554,empty
2023-07-07 15:13:14.934895,496,empty
2023-07-07 15:13:14.998541,578,empty
2023-07-07 15:13:15.015905,502,empty
2023-07-07 15:13:15.023991,512,empty
2023-07-07 15:13:15.108907,512,empty
2023-07-07 15:13:15.170150,499,empty
2023-07-07 15:13:15.230023,545,empty
