Timestamp,Number of Pixels in Range,food?
2023-06-29 13:59:43.507874,384,empty
2023-06-29 13:59:43.560636,392,empty
2023-06-29 13:59:43.616622,348,empty
2023-06-29 13:59:43.678109,350,empty
2023-06-29 13:59:43.740541,0,empty
2023-06-29 13:59:43.769055,362,empty
2023-06-29 13:59:43.827693,376,empty
2023-06-29 13:59:43.874862,0,empty
2023-06-29 13:59:43.900863,402,empty
2023-06-29 13:59:43.943186,0,empty
2023-06-29 13:59:43.976179,322,empty
2023-06-29 13:59:44.020846,0,empty
2023-06-29 13:59:44.054423,0,empty
2023-06-29 13:59:44.072063,0,empty
2023-06-29 13:59:44.086613,0,empty
2023-06-29 13:59:44.102956,0,empty
2023-06-29 13:59:44.115700,0,empty
2023-06-29 13:59:44.128875,0,empty
2023-06-29 13:59:44.213421,384,empty
2023-06-29 13:59:44.253046,368,empty
2023-06-29 13:59:44.295661,374,empty
2023-06-29 13:59:44.411445,348,empty
2023-06-29 13:59:44.459171,360,empty
2023-06-29 13:59:44.510211,382,empty
2023-06-29 13:59:44.553297,408,empty
2023-06-29 13:59:44.653807,376,empty
2023-06-29 13:59:44.701863,384,empty
2023-06-29 13:59:44.770979,356,empty
2023-06-29 13:59:44.825446,398,empty
2023-06-29 13:59:44.910083,354,empty
2023-06-29 13:59:44.954442,376,empty
2023-06-29 13:59:45.033954,356,empty
2023-06-29 13:59:45.078143,354,empty
2023-06-29 13:59:45.156622,376,empty
2023-06-29 13:59:45.201823,408,empty
2023-06-29 13:59:45.259910,386,empty
2023-06-29 13:59:45.319471,370,empty
2023-06-29 13:59:45.378810,380,empty
2023-06-29 13:59:45.424032,392,empty
2023-06-29 13:59:45.489045,342,empty
2023-06-29 13:59:45.553498,366,empty
2023-06-29 13:59:45.616166,368,empty
2023-06-29 13:59:45.660830,358,empty
2023-06-29 13:59:45.724659,374,empty
2023-06-29 13:59:45.794391,392,empty
2023-06-29 13:59:45.857429,324,empty
2023-06-29 13:59:45.904778,354,empty
2023-06-29 13:59:45.963824,384,empty
2023-06-29 13:59:46.032655,370,empty
2023-06-29 13:59:46.091994,364,empty
2023-06-29 13:59:46.137666,348,empty
2023-06-29 13:59:46.203737,350,empty
2023-06-29 13:59:46.273729,388,empty
2023-06-29 13:59:46.336361,362,empty
2023-06-29 13:59:46.382118,356,empty
2023-06-29 13:59:46.447744,368,empty
2023-06-29 13:59:46.509974,362,empty
2023-06-29 13:59:46.571641,388,empty
2023-06-29 13:59:46.616280,398,empty
2023-06-29 13:59:46.679106,372,empty
2023-06-29 13:59:46.747332,354,empty
2023-06-29 13:59:46.805077,394,empty
2023-06-29 13:59:46.844257,372,empty
2023-06-29 13:59:46.901525,366,empty
2023-06-29 13:59:46.969078,394,empty
2023-06-29 13:59:47.032651,352,empty
2023-06-29 13:59:47.080080,360,empty
2023-06-29 13:59:47.138901,380,empty
2023-06-29 13:59:47.198580,342,empty
2023-06-29 13:59:47.258524,384,empty
2023-06-29 13:59:47.300292,370,empty
2023-06-29 13:59:47.363441,356,empty
2023-06-29 13:59:47.435700,392,empty
2023-06-29 13:59:47.477350,366,empty
2023-06-29 13:59:47.536147,368,empty
2023-06-29 13:59:47.597384,382,empty
2023-06-29 13:59:47.658240,390,empty
2023-06-29 13:59:47.698383,374,empty
2023-06-29 13:59:47.761470,390,empty
2023-06-29 13:59:47.827904,364,empty
2023-06-29 13:59:47.877726,380,empty
2023-06-29 13:59:47.946299,386,empty
2023-06-29 13:59:47.993885,342,empty
2023-06-29 13:59:48.071934,362,empty
2023-06-29 13:59:48.151702,380,empty
2023-06-29 13:59:48.240541,348,empty
2023-06-29 13:59:48.299015,374,empty
2023-06-29 13:59:48.396492,364,empty
2023-06-29 13:59:48.468612,356,empty
2023-06-29 13:59:48.567542,410,empty
2023-06-29 13:59:48.617929,322,empty
2023-06-29 13:59:48.706990,354,empty
2023-06-29 13:59:48.789541,402,empty
2023-06-29 13:59:48.853531,348,empty
2023-06-29 13:59:48.929065,372,empty
2023-06-29 13:59:49.013721,380,empty
2023-06-29 13:59:49.087724,360,empty
2023-06-29 13:59:49.156130,384,empty
2023-06-29 13:59:49.226886,382,empty
2023-06-29 13:59:49.316962,370,empty
2023-06-29 13:59:49.385392,394,empty
2023-06-29 13:59:49.456357,366,empty
2023-06-29 13:59:49.526119,356,empty
2023-06-29 13:59:49.613971,358,empty
2023-06-29 13:59:49.682695,348,empty
2023-06-29 13:59:49.752212,386,empty
2023-06-29 13:59:49.820153,374,empty
2023-06-29 13:59:49.906761,366,empty
2023-06-29 13:59:49.975053,352,empty
2023-06-29 13:59:50.042783,388,empty
2023-06-29 13:59:50.104985,404,empty
2023-06-29 13:59:50.173275,370,empty
2023-06-29 13:59:50.239085,382,empty
2023-06-29 13:59:50.305881,362,empty
2023-06-29 13:59:50.375268,398,empty
2023-06-29 13:59:50.447573,372,empty
2023-06-29 13:59:50.519257,368,empty
2023-06-29 13:59:50.581921,364,empty
2023-06-29 13:59:50.644808,348,empty
2023-06-29 13:59:50.709717,356,empty
2023-06-29 13:59:50.777319,368,empty
2023-06-29 13:59:50.847897,420,empty
