Timestamp,Number of Pixels in Range,food?
2023-06-29 14:00:46.698808,344,empty
2023-06-29 14:00:46.744108,368,empty
2023-06-29 14:00:46.797059,406,empty
2023-06-29 14:00:46.847278,376,empty
2023-06-29 14:00:46.891486,0,empty
2023-06-29 14:00:46.919482,360,empty
2023-06-29 14:00:46.957747,0,empty
2023-06-29 14:00:46.981237,390,empty
2023-06-29 14:00:47.028625,356,empty
2023-06-29 14:00:47.062601,0,empty
2023-06-29 14:00:47.088018,362,empty
2023-06-29 14:00:47.118785,0,empty
2023-06-29 14:00:47.143537,374,empty
2023-06-29 14:00:47.178303,0,empty
2023-06-29 14:00:47.202276,360,empty
2023-06-29 14:00:47.251135,338,empty
2023-06-29 14:00:47.286599,0,empty
2023-06-29 14:00:47.311006,410,empty
2023-06-29 14:00:47.345955,0,empty
2023-06-29 14:00:47.369509,392,empty
2023-06-29 14:00:47.406529,0,empty
2023-06-29 14:00:47.430061,390,empty
2023-06-29 14:00:47.483922,398,empty
2023-06-29 14:00:47.516726,0,empty
2023-06-29 14:00:47.541668,374,empty
2023-06-29 14:00:47.580155,0,empty
2023-06-29 14:00:47.604014,394,empty
2023-06-29 14:00:47.650697,402,empty
2023-06-29 14:00:47.691899,0,empty
2023-06-29 14:00:47.715251,392,empty
2023-06-29 14:00:47.748273,0,empty
2023-06-29 14:00:47.772817,392,empty
2023-06-29 14:00:47.820469,362,empty
2023-06-29 14:00:47.857756,0,empty
2023-06-29 14:00:47.882475,372,empty
2023-06-29 14:00:47.916723,0,empty
2023-06-29 14:00:47.941664,406,empty
2023-06-29 14:00:47.980275,0,empty
2023-06-29 14:00:48.004657,404,empty
2023-06-29 14:00:48.056720,388,empty
2023-06-29 14:00:48.108859,0,empty
2023-06-29 14:00:48.134386,386,empty
2023-06-29 14:00:48.175617,0,empty
2023-06-29 14:00:48.201185,396,empty
2023-06-29 14:00:48.239362,0,empty
2023-06-29 14:00:48.267715,340,empty
2023-06-29 14:00:48.320954,420,empty
2023-06-29 14:00:48.359162,0,empty
2023-06-29 14:00:48.382244,358,empty
2023-06-29 14:00:48.413895,0,empty
2023-06-29 14:00:48.436920,400,empty
2023-06-29 14:00:48.469672,0,empty
2023-06-29 14:00:48.499629,362,empty
2023-06-29 14:00:48.536078,0,empty
2023-06-29 14:00:48.560654,396,empty
2023-06-29 14:00:48.595140,0,empty
2023-06-29 14:00:48.620330,400,empty
2023-06-29 14:00:48.666399,424,empty
2023-06-29 14:00:48.705066,0,empty
2023-06-29 14:00:48.731113,350,empty
2023-06-29 14:00:48.770263,0,empty
2023-06-29 14:00:48.798539,384,empty
2023-06-29 14:00:48.840839,0,empty
2023-06-29 14:00:48.868267,370,empty
2023-06-29 14:00:48.933446,428,empty
2023-06-29 14:00:48.975142,0,empty
2023-06-29 14:00:49.003131,392,empty
2023-06-29 14:00:49.042930,0,empty
2023-06-29 14:00:49.067469,392,empty
2023-06-29 14:00:49.105097,0,empty
2023-06-29 14:00:49.128790,376,empty
2023-06-29 14:00:49.163356,0,empty
2023-06-29 14:00:49.189424,374,empty
2023-06-29 14:00:49.226698,0,empty
2023-06-29 14:00:49.250508,414,empty
2023-06-29 14:00:49.289534,0,empty
2023-06-29 14:00:49.313125,430,empty
2023-06-29 14:00:49.354529,0,empty
2023-06-29 14:00:49.387532,348,empty
2023-06-29 14:00:49.422915,0,empty
2023-06-29 14:00:49.447580,394,empty
2023-06-29 14:00:49.508805,0,empty
2023-06-29 14:00:49.540573,422,empty
2023-06-29 14:00:49.602971,402,empty
2023-06-29 14:00:49.633842,0,empty
2023-06-29 14:00:49.649307,0,empty
2023-06-29 14:00:49.678862,0,empty
2023-06-29 14:00:49.695123,0,empty
2023-06-29 14:00:49.727558,0,empty
2023-06-29 14:00:49.739009,0,empty
2023-06-29 14:00:49.751334,0,empty
2023-06-29 14:00:49.770200,0,empty
2023-06-29 14:00:49.780805,0,empty
2023-06-29 14:00:49.792079,0,empty
2023-06-29 14:00:49.811596,0,empty
2023-06-29 14:00:49.849999,0,empty
2023-06-29 14:00:49.868939,0,empty
2023-06-29 14:00:49.953635,374,empty
2023-06-29 14:00:50.034412,406,empty
2023-06-29 14:00:50.081387,374,empty
2023-06-29 14:00:50.132658,388,empty
2023-06-29 14:00:50.176460,382,empty
2023-06-29 14:00:50.234208,422,empty
2023-06-29 14:00:50.276892,426,empty
2023-06-29 14:00:50.339826,368,empty
2023-06-29 14:00:50.385263,408,empty
2023-06-29 14:00:50.445312,440,empty
2023-06-29 14:00:50.488313,392,empty
2023-06-29 14:00:50.549798,366,empty
2023-06-29 14:00:50.594098,418,empty
2023-06-29 14:00:50.658000,376,empty
2023-06-29 14:00:50.699324,412,empty
2023-06-29 14:00:50.820877,420,empty
2023-06-29 14:00:50.907302,416,empty
2023-06-29 14:00:50.975236,334,empty
2023-06-29 14:00:51.088250,386,empty
2023-06-29 14:00:51.170727,432,empty
2023-06-29 14:00:51.240132,376,empty
2023-06-29 14:00:51.305671,432,empty
2023-06-29 14:00:51.392370,358,empty
2023-06-29 14:00:51.491137,408,empty
2023-06-29 14:00:51.581141,410,empty
2023-06-29 14:00:51.671797,400,empty
2023-06-29 14:00:52.268806,0,empty
2023-06-29 14:00:52.303069,0,empty
