Timestamp,Number of Pixels in Range,food?
2023-07-07 15:14:08.742067,200,empty
2023-07-07 15:14:08.794436,163,empty
2023-07-07 15:14:08.845581,188,empty
2023-07-07 15:14:08.898597,166,empty
2023-07-07 15:14:08.954184,172,empty
2023-07-07 15:14:09.010913,164,empty
2023-07-07 15:14:09.064755,219,empty
2023-07-07 15:14:09.087185,257,empty
2023-07-07 15:14:09.135876,233,empty
2023-07-07 15:14:09.159953,185,empty
2023-07-07 15:14:09.220724,244,empty
2023-07-07 15:14:09.285508,184,empty
2023-07-07 15:14:09.308697,221,empty
2023-07-07 15:14:09.386612,168,empty
2023-07-07 15:14:09.401753,237,empty
2023-07-07 15:14:09.417482,180,empty
2023-07-07 15:14:09.438003,165,empty
2023-07-07 15:14:09.451903,190,empty
2023-07-07 15:14:09.499394,299,empty
2023-07-07 15:14:09.535910,223,empty
2023-07-07 15:14:09.567374,179,empty
2023-07-07 15:14:09.584758,183,empty
2023-07-07 15:14:09.616810,231,empty
2023-07-07 15:14:09.665222,159,empty
2023-07-07 15:14:09.687551,192,empty
2023-07-07 15:14:09.825063,238,empty
2023-07-07 15:14:09.880711,211,empty
2023-07-07 15:14:09.945968,221,empty
2023-07-07 15:14:10.015731,282,empty
2023-07-07 15:14:10.107342,199,empty
2023-07-07 15:14:10.161979,211,empty
2023-07-07 15:14:10.251978,192,empty
2023-07-07 15:14:10.341296,187,empty
2023-07-07 15:14:10.453445,174,empty
2023-07-07 15:14:10.538933,218,empty
2023-07-07 15:14:11.615423,185,empty
2023-07-07 15:14:11.689875,189,empty
2023-07-07 15:14:11.857924,188,empty
2023-07-07 15:14:11.985600,224,empty
2023-07-07 15:14:12.054220,174,empty
2023-07-07 15:14:12.159031,171,empty
2023-07-07 15:14:12.176551,224,empty
2023-07-07 15:14:12.224074,168,empty
2023-07-07 15:14:12.268205,231,empty
2023-07-07 15:14:12.329555,173,empty
2023-07-07 15:14:12.393844,219,empty
2023-07-07 15:14:12.480705,153,empty
2023-07-07 15:14:12.538807,249,empty
2023-07-07 15:14:12.601947,215,empty
2023-07-07 15:14:12.686575,182,empty
2023-07-07 15:14:12.798746,168,empty
2023-07-07 15:14:12.858978,210,empty
2023-07-07 15:14:12.951844,172,empty
2023-07-07 15:14:13.181099,266,empty
2023-07-07 15:14:13.214961,219,empty
2023-07-07 15:14:13.248834,158,empty
2023-07-07 15:14:13.265263,185,empty
2023-07-07 15:14:13.282111,274,empty
2023-07-07 15:14:13.301534,218,empty
2023-07-07 15:14:13.336430,307,empty
2023-07-07 15:14:13.352220,212,empty
2023-07-07 15:14:13.368406,166,empty
2023-07-07 15:14:13.427573,198,empty
2023-07-07 15:14:13.445351,166,empty
2023-07-07 15:14:13.595166,171,empty
2023-07-07 15:14:13.653399,184,empty
2023-07-07 15:14:13.719736,193,empty
2023-07-07 15:14:13.781777,200,empty
2023-07-07 15:14:13.870079,179,empty
2023-07-07 15:14:13.959572,179,empty
2023-07-07 15:14:14.020692,235,empty
2023-07-07 15:14:14.107671,250,empty
2023-07-07 15:14:14.223114,170,empty
2023-07-07 15:14:14.317785,199,empty
2023-07-07 15:14:15.614832,243,empty
2023-07-07 15:14:15.632039,172,empty
2023-07-07 15:14:15.651166,233,empty
2023-07-07 15:14:15.750496,247,empty
2023-07-07 15:14:15.819190,224,empty
2023-07-07 15:14:15.888910,180,empty
2023-07-07 15:14:15.957633,176,empty
2023-07-07 15:14:15.979370,197,empty
2023-07-07 15:14:16.037810,179,empty
2023-07-07 15:14:16.066385,173,empty
2023-07-07 15:14:16.132522,285,empty
2023-07-07 15:14:16.170721,178,empty
2023-07-07 15:14:16.200307,194,empty
2023-07-07 15:14:16.221766,260,empty
2023-07-07 15:14:16.262170,195,empty
2023-07-07 15:14:16.298359,231,empty
2023-07-07 15:14:16.321794,247,empty
2023-07-07 15:14:16.335869,183,empty
2023-07-07 15:14:16.360698,227,empty
2023-07-07 15:14:16.380790,322,empty
2023-07-07 15:14:16.435736,259,empty
2023-07-07 15:14:16.458164,195,empty
2023-07-07 15:14:16.473875,221,empty
2023-07-07 15:14:16.521655,220,empty
2023-07-07 15:14:16.541318,157,empty
2023-07-07 15:14:16.595952,218,empty
2023-07-07 15:14:16.615025,230,empty
2023-07-07 15:14:16.674791,185,empty
2023-07-07 15:14:16.710129,168,empty
2023-07-07 15:14:16.799355,156,empty
2023-07-07 15:14:16.845478,205,empty
2023-07-07 15:14:16.865616,166,empty
2023-07-07 15:14:16.934646,166,empty
2023-07-07 15:14:16.999537,200,empty
2023-07-07 15:14:17.067965,238,empty
2023-07-07 15:14:17.134902,239,empty
2023-07-07 15:14:17.202777,176,empty
2023-07-07 15:14:17.254300,165,empty
2023-07-07 15:14:17.269879,244,empty
2023-07-07 15:14:17.332768,186,empty
2023-07-07 15:14:17.387358,194,empty
2023-07-07 15:14:17.407719,240,empty
2023-07-07 15:14:17.456559,192,empty
2023-07-07 15:14:17.474633,177,empty
2023-07-07 15:14:17.530444,194,empty
2023-07-07 15:14:17.553259,201,empty
2023-07-07 15:14:17.603309,204,empty
2023-07-07 15:14:17.624742,187,empty
2023-07-07 15:14:17.647810,188,empty
2023-07-07 15:14:17.666524,167,empty
2023-07-07 15:14:17.685729,209,empty
2023-07-07 15:14:17.838351,253,empty
2023-07-07 15:14:17.905956,173,empty
2023-07-07 15:14:17.973648,193,empty
2023-07-07 15:14:18.058923,203,empty
2023-07-07 15:14:18.157622,246,empty
2023-07-07 15:14:18.258087,162,empty
2023-07-07 15:14:18.366688,162,empty
2023-07-07 15:14:19.177378,185,empty
2023-07-07 15:14:19.240843,211,empty
2023-07-07 15:14:19.253630,148,empty
2023-07-07 15:14:19.266004,261,empty
2023-07-07 15:14:19.365321,309,empty
2023-07-07 15:14:19.421641,191,empty
2023-07-07 15:14:19.485916,199,empty
2023-07-07 15:14:19.544312,202,empty
2023-07-07 15:14:19.606003,156,empty
2023-07-07 15:14:19.628936,188,empty
2023-07-07 15:14:19.687662,175,empty
2023-07-07 15:14:19.710715,263,empty
2023-07-07 15:14:19.772612,263,empty
2023-07-07 15:14:19.786070,254,empty
2023-07-07 15:14:19.842209,206,empty
2023-07-07 15:14:19.871428,180,empty
2023-07-07 15:14:19.981429,241,empty
2023-07-07 15:14:19.991623,203,empty
2023-07-07 15:14:20.005819,145,empty
2023-07-07 15:14:20.029343,200,empty
2023-07-07 15:14:20.044299,209,empty
2023-07-07 15:14:20.058582,187,empty
2023-07-07 15:14:20.075927,182,empty
2023-07-07 15:14:20.090512,234,empty
2023-07-07 15:14:20.105517,225,empty
2023-07-07 15:14:20.134049,250,empty
2023-07-07 15:14:20.148029,179,empty
2023-07-07 15:14:20.159896,223,empty
2023-07-07 15:14:20.172643,275,empty
2023-07-07 15:14:20.186893,197,empty
2023-07-07 15:14:20.198760,181,empty
2023-07-07 15:14:20.239389,167,empty
2023-07-07 15:14:20.281817,200,empty
2023-07-07 15:14:20.296123,147,empty
2023-07-07 15:14:20.413523,161,empty
2023-07-07 15:14:20.472506,244,empty
2023-07-07 15:14:20.542630,207,empty
2023-07-07 15:14:20.614311,184,empty
2023-07-07 15:14:20.682971,211,empty
2023-07-07 15:14:20.783668,225,empty
2023-07-07 15:14:20.868250,242,empty
2023-07-07 15:14:20.942072,185,empty
2023-07-07 15:14:21.016039,184,empty
2023-07-07 15:14:21.117634,212,empty
2023-07-07 15:14:21.199241,217,empty
2023-07-07 15:14:21.277929,151,empty
2023-07-07 15:14:21.381863,301,empty
2023-07-07 15:14:21.481581,250,empty
2023-07-07 15:14:21.555912,183,empty
2023-07-07 15:14:22.293345,197,empty
2023-07-07 15:14:22.331700,200,empty
2023-07-07 15:14:22.396614,195,empty
2023-07-07 15:14:22.462537,256,empty
2023-07-07 15:14:22.476967,259,empty
2023-07-07 15:14:22.494045,198,empty
2023-07-07 15:14:22.604415,185,empty
2023-07-07 15:14:22.673960,197,empty
2023-07-07 15:14:22.763544,184,empty
2023-07-07 15:14:22.836814,176,empty
2023-07-07 15:14:22.913518,207,empty
2023-07-07 15:14:22.931342,189,empty
2023-07-07 15:14:22.956317,182,empty
2023-07-07 15:14:22.972749,172,empty
2023-07-07 15:14:22.988268,262,empty
2023-07-07 15:14:23.129869,264,hand
2023-07-07 15:14:23.183670,182,hand
2023-07-07 15:14:23.250649,168,hand
2023-07-07 15:14:23.427740,181,hand
2023-07-07 15:14:23.502614,200,hand
2023-07-07 15:14:24.176269,228,hand
2023-07-07 15:14:24.209716,176,hand
2023-07-07 15:14:24.250244,7103,hand
2023-07-07 15:14:24.294818,7655,hand
2023-07-07 15:14:24.352880,8074,hand
2023-07-07 15:14:24.403597,8326,hand
2023-07-07 15:14:24.462593,8290,hand
2023-07-07 15:14:24.511977,8182,hand
2023-07-07 15:14:24.571794,7912,hand
2023-07-07 15:14:24.648169,7652,hand
2023-07-07 15:14:24.691945,7638,hand
2023-07-07 15:14:24.773818,7100,hand
2023-07-07 15:14:24.827847,7300,hand
2023-07-07 15:14:24.917227,8337,hand
2023-07-07 15:14:24.975299,8460,hand
2023-07-07 15:14:25.044882,8148,hand
2023-07-07 15:14:25.115848,8670,hand
2023-07-07 15:14:25.237900,9004,hand
2023-07-07 15:14:25.298682,9221,hand
2023-07-07 15:14:25.409163,9572,hand
2023-07-07 15:14:25.499895,9353,hand
2023-07-07 15:14:26.264213,8527,hand
2023-07-07 15:14:26.353947,10497,hand
2023-07-07 15:14:26.451780,10499,hand
2023-07-07 15:14:26.510933,10491,hand
2023-07-07 15:14:26.567541,10496,hand
