Timestamp,Number of Pixels in Range,food?
2023-06-29 12:20:06.058934,968,empty
2023-06-29 12:20:06.104425,976,empty
2023-06-29 12:20:06.159881,942,empty
2023-06-29 12:20:06.214169,970,empty
2023-06-29 12:20:06.255706,205,empty
2023-06-29 12:20:06.283915,220,empty
2023-06-29 12:20:06.340417,214,empty
2023-06-29 12:20:06.382112,216,empty
2023-06-29 12:20:06.397029,245,empty
2023-06-29 12:20:06.528213,932,empty
2023-06-29 12:20:06.597260,970,empty
2023-06-29 12:20:07.108098,241,empty
2023-06-29 12:20:07.147237,207,empty
2023-06-29 12:20:07.177419,204,empty
2023-06-29 12:20:07.217274,220,empty
2023-06-29 12:20:07.235309,176,empty
2023-06-29 12:20:07.260641,1032,empty
2023-06-29 12:20:07.312127,1048,empty
2023-06-29 12:20:07.369542,996,empty
2023-06-29 12:20:07.428044,1000,empty
2023-06-29 12:20:07.486928,986,empty
2023-06-29 12:20:07.558645,926,empty
2023-06-29 12:20:07.605752,1018,empty
2023-06-29 12:20:07.687545,974,empty
2023-06-29 12:20:07.769234,976,empty
2023-06-29 12:20:07.841711,972,empty
2023-06-29 12:20:07.888136,946,empty
2023-06-29 12:20:08.003237,1064,empty
2023-06-29 12:20:08.066677,992,empty
2023-06-29 12:20:08.137941,976,empty
2023-06-29 12:20:08.183702,1022,empty
2023-06-29 12:20:08.288610,998,empty
2023-06-29 12:20:08.373611,984,empty
2023-06-29 12:20:08.452722,972,empty
2023-06-29 12:20:08.497569,1000,empty
2023-06-29 12:20:08.626525,990,empty
2023-06-29 12:20:08.713962,1010,empty
2023-06-29 12:20:08.800946,966,empty
2023-06-29 12:20:09.743473,218,empty
2023-06-29 12:20:09.761618,217,empty
2023-06-29 12:20:09.779746,226,empty
2023-06-29 12:20:09.813435,988,empty
2023-06-29 12:20:09.878057,916,empty
2023-06-29 12:20:09.948418,960,empty
2023-06-29 12:20:10.005675,972,empty
2023-06-29 12:20:10.043591,200,empty
2023-06-29 12:20:10.076498,988,empty
2023-06-29 12:20:10.114662,204,empty
2023-06-29 12:20:10.139792,964,empty
2023-06-29 12:20:10.182248,208,empty
2023-06-29 12:20:10.207945,1010,empty
2023-06-29 12:20:10.265262,976,empty
2023-06-29 12:20:10.333420,236,empty
2023-06-29 12:20:10.361590,928,empty
2023-06-29 12:20:10.417429,192,empty
2023-06-29 12:20:10.441638,982,empty
2023-06-29 12:20:10.491266,211,empty
2023-06-29 12:20:10.522057,209,empty
2023-06-29 12:20:10.576099,222,empty
2023-06-29 12:20:10.591569,198,empty
2023-06-29 12:20:10.685141,1012,empty
2023-06-29 12:20:10.730731,968,empty
2023-06-29 12:20:10.780823,946,empty
2023-06-29 12:20:10.873270,982,empty
2023-06-29 12:20:10.939711,996,empty
2023-06-29 12:20:10.997735,984,empty
2023-06-29 12:20:11.084157,940,empty
2023-06-29 12:20:11.181639,990,empty
2023-06-29 12:20:11.261818,996,empty
2023-06-29 12:20:11.330389,966,empty
2023-06-29 12:20:11.431964,976,empty
2023-06-29 12:20:11.536707,1000,empty
2023-06-29 12:20:11.607228,944,empty
2023-06-29 12:20:11.681899,1030,empty
2023-06-29 12:20:11.772226,974,empty
2023-06-29 12:20:11.874771,974,empty
2023-06-29 12:20:11.976031,1012,empty
2023-06-29 12:20:12.719440,232,empty
2023-06-29 12:20:12.759209,209,empty
2023-06-29 12:20:12.820789,235,empty
2023-06-29 12:20:12.846974,222,empty
2023-06-29 12:20:12.868242,200,empty
2023-06-29 12:20:12.934413,990,empty
2023-06-29 12:20:13.001425,1000,empty
2023-06-29 12:20:13.065953,968,empty
2023-06-29 12:20:13.121575,958,empty
2023-06-29 12:20:13.165423,226,empty
2023-06-29 12:20:13.192029,982,empty
2023-06-29 12:20:13.231263,248,empty
2023-06-29 12:20:13.260963,998,empty
2023-06-29 12:20:13.301617,224,empty
2023-06-29 12:20:13.335779,970,empty
2023-06-29 12:20:13.416644,1078,empty
2023-06-29 12:20:13.466724,220,empty
2023-06-29 12:20:13.490906,236,empty
2023-06-29 12:20:13.507022,169,empty
2023-06-29 12:20:13.540915,226,empty
2023-06-29 12:20:13.577952,218,empty
2023-06-29 12:20:13.591018,240,empty
2023-06-29 12:20:13.649783,230,empty
2023-06-29 12:20:13.666850,224,empty
2023-06-29 12:20:13.687564,195,empty
2023-06-29 12:20:13.706206,239,empty
2023-06-29 12:20:13.722967,231,empty
2023-06-29 12:20:13.792153,239,empty
2023-06-29 12:20:13.829662,243,empty
2023-06-29 12:20:13.847636,257,empty
2023-06-29 12:20:13.963683,1058,empty
2023-06-29 12:20:14.021395,946,empty
2023-06-29 12:20:14.080142,1040,empty
2023-06-29 12:20:14.139381,980,empty
2023-06-29 12:20:14.193123,1024,empty
2023-06-29 12:20:14.261235,970,empty
2023-06-29 12:20:14.331394,1012,empty
2023-06-29 12:20:14.416053,928,empty
2023-06-29 12:20:14.487520,966,empty
2023-06-29 12:20:14.586709,952,empty
2023-06-29 12:20:14.679252,980,empty
2023-06-29 12:20:16.319200,220,empty
2023-06-29 12:20:16.381021,215,empty
2023-06-29 12:20:16.418010,201,empty
2023-06-29 12:20:16.453183,204,empty
2023-06-29 12:20:16.466087,172,empty
2023-06-29 12:20:16.497922,986,empty
2023-06-29 12:20:16.553171,990,empty
2023-06-29 12:20:16.605229,1018,empty
2023-06-29 12:20:16.660206,948,empty
2023-06-29 12:20:16.711389,1032,empty
2023-06-29 12:20:16.772616,984,empty
2023-06-29 12:20:16.843033,966,empty
2023-06-29 12:20:16.918479,998,empty
2023-06-29 12:20:16.973506,1006,empty
2023-06-29 12:20:17.049797,1034,empty
2023-06-29 12:20:17.136933,980,empty
2023-06-29 12:20:17.207524,986,empty
2023-06-29 12:20:17.276978,946,empty
2023-06-29 12:20:17.379081,952,empty
2023-06-29 12:20:17.473960,972,empty
2023-06-29 12:20:17.556242,972,empty
2023-06-29 12:20:17.652437,984,empty
2023-06-29 12:20:17.729838,942,empty
2023-06-29 12:20:17.837340,984,empty
2023-06-29 12:20:18.442310,216,empty
2023-06-29 12:20:18.580524,238,empty
2023-06-29 12:20:18.678370,230,empty
2023-06-29 12:20:18.771423,223,empty
2023-06-29 12:20:18.827785,233,empty
2023-06-29 12:20:18.841570,227,empty
2023-06-29 12:20:18.879656,218,empty
2023-06-29 12:20:18.923374,244,empty
2023-06-29 12:20:18.956521,986,empty
2023-06-29 12:20:19.011690,974,empty
2023-06-29 12:20:19.062414,964,empty
2023-06-29 12:20:19.120689,984,empty
2023-06-29 12:20:19.185122,1042,empty
2023-06-29 12:20:19.257891,938,empty
2023-06-29 12:20:19.312255,962,empty
2023-06-29 12:20:19.401136,978,empty
2023-06-29 12:20:19.497671,964,empty
2023-06-29 12:20:19.590417,976,empty
2023-06-29 12:20:19.683871,962,empty
2023-06-29 12:20:20.480031,223,empty
2023-06-29 12:20:20.518582,221,empty
2023-06-29 12:20:20.591232,206,empty
2023-06-29 12:20:20.652609,224,empty
2023-06-29 12:20:20.665588,219,empty
2023-06-29 12:20:20.699862,213,empty
2023-06-29 12:20:20.741073,273,empty
2023-06-29 12:20:20.769807,978,empty
2023-06-29 12:20:20.825594,1024,empty
2023-06-29 12:20:20.877679,968,empty
2023-06-29 12:20:20.929715,986,empty
2023-06-29 12:20:20.980207,934,empty
2023-06-29 12:20:21.062132,978,empty
2023-06-29 12:20:21.115161,1046,empty
2023-06-29 12:20:21.190818,986,empty
2023-06-29 12:20:21.255897,968,empty
2023-06-29 12:20:21.341795,1020,empty
2023-06-29 12:20:21.389731,958,empty
2023-06-29 12:20:21.479090,1002,empty
2023-06-29 12:20:21.548617,974,empty
2023-06-29 12:20:21.639428,968,empty
2023-06-29 12:20:21.686243,914,empty
2023-06-29 12:20:21.774891,948,empty
2023-06-29 12:20:21.846333,1008,empty
2023-06-29 12:20:21.946361,1004,empty
2023-06-29 12:20:21.994213,992,empty
2023-06-29 12:20:22.089331,944,empty
2023-06-29 12:20:22.153721,1016,empty
2023-06-29 12:20:22.238952,994,empty
2023-06-29 12:20:22.287851,1036,empty
2023-06-29 12:20:22.364524,1026,empty
2023-06-29 12:20:22.432290,990,empty
2023-06-29 12:20:22.521149,918,empty
2023-06-29 12:20:22.572420,920,empty
2023-06-29 12:20:22.640568,986,empty
2023-06-29 12:20:22.710268,1006,empty
2023-06-29 12:20:22.791915,996,empty
2023-06-29 12:20:22.857586,990,empty
2023-06-29 12:20:22.926080,928,empty
2023-06-29 12:20:22.999402,1020,empty
2023-06-29 12:20:23.062182,966,empty
2023-06-29 12:20:23.130000,944,empty
2023-06-29 12:20:23.194827,972,empty
2023-06-29 12:20:23.259663,1022,empty
2023-06-29 12:20:23.328186,960,empty
2023-06-29 12:20:23.397413,968,empty
2023-06-29 12:20:23.462997,1014,empty
2023-06-29 12:20:23.532888,994,empty
2023-06-29 12:20:23.601735,1006,empty
2023-06-29 12:20:23.661669,960,empty
2023-06-29 12:20:23.730575,970,empty
2023-06-29 12:20:23.795436,1024,empty
2023-06-29 12:20:23.861876,960,empty
2023-06-29 12:20:23.936417,962,empty
2023-06-29 12:20:24.006434,984,empty
2023-06-29 12:20:24.081518,956,empty
2023-06-29 12:20:24.153210,944,empty
2023-06-29 12:20:24.217604,944,empty
2023-06-29 12:20:24.282870,964,empty
2023-06-29 12:20:24.348697,930,empty
2023-06-29 12:20:24.439344,1006,empty
2023-06-29 12:20:24.486824,982,empty
2023-06-29 12:20:24.554190,912,empty
2023-06-29 12:20:24.620306,1058,empty
2023-06-29 12:20:24.715627,936,empty
2023-06-29 12:20:24.784878,938,empty
2023-06-29 12:20:24.836429,962,empty
2023-06-29 12:20:24.939521,1010,empty
2023-06-29 12:20:25.005397,970,empty
2023-06-29 12:20:25.080269,960,empty
2023-06-29 12:20:25.149303,954,empty
2023-06-29 12:20:25.236603,968,empty
2023-06-29 12:20:25.304969,1006,empty
2023-06-29 12:20:25.381192,994,empty
2023-06-29 12:20:25.446779,966,empty
2023-06-29 12:20:25.532693,956,empty
2023-06-29 12:20:25.606811,950,empty
2023-06-29 12:20:25.677228,1002,empty
2023-06-29 12:20:25.746074,986,empty
2023-06-29 12:20:25.837625,1014,empty
2023-06-29 12:20:25.908861,972,empty
2023-06-29 12:20:25.977554,1004,empty
2023-06-29 12:20:26.065743,962,empty
2023-06-29 12:20:26.153809,1004,empty
2023-06-29 12:20:26.238285,1030,empty
2023-06-29 12:20:26.311437,942,empty
2023-06-29 12:20:26.399300,932,empty
2023-06-29 12:20:26.489470,916,empty
2023-06-29 12:20:26.582840,982,empty
2023-06-29 12:20:26.656484,980,empty
2023-06-29 12:20:27.204753,243,empty
2023-06-29 12:20:27.260813,219,empty
2023-06-29 12:20:27.274079,223,empty
2023-06-29 12:20:27.287525,228,empty
2023-06-29 12:20:27.350040,998,empty
2023-06-29 12:20:27.407907,992,empty
2023-06-29 12:20:27.463827,948,empty
2023-06-29 12:20:27.517572,976,empty
2023-06-29 12:20:27.572638,998,empty
2023-06-29 12:20:27.628775,1038,empty
2023-06-29 12:20:27.669469,217,empty
2023-06-29 12:20:27.700411,1002,empty
2023-06-29 12:20:27.740060,204,empty
2023-06-29 12:20:27.767845,1016,empty
2023-06-29 12:20:27.822481,982,empty
2023-06-29 12:20:27.856049,238,empty
2023-06-29 12:20:27.886862,1018,empty
2023-06-29 12:20:27.932479,194,empty
2023-06-29 12:20:27.964428,1026,empty
2023-06-29 12:20:28.017934,253,empty
2023-06-29 12:20:28.053006,922,empty
2023-06-29 12:20:28.102115,232,empty
2023-06-29 12:20:28.120420,229,empty
2023-06-29 12:20:28.154965,217,empty
2023-06-29 12:20:28.188340,254,empty
2023-06-29 12:20:28.224741,237,empty
2023-06-29 12:20:28.348441,934,empty
2023-06-29 12:20:28.414918,980,empty
2023-06-29 12:20:28.475887,960,empty
2023-06-29 12:20:28.620915,980,empty
2023-06-29 12:20:28.685548,930,empty
2023-06-29 12:20:28.754745,1040,empty
2023-06-29 12:20:28.805812,954,empty
2023-06-29 12:20:28.924653,956,empty
2023-06-29 12:20:28.992122,974,empty
2023-06-29 12:20:29.068511,994,empty
2023-06-29 12:20:29.117956,966,empty
2023-06-29 12:20:29.230499,1008,empty
2023-06-29 12:20:29.303460,970,empty
2023-06-29 12:20:29.373574,974,empty
2023-06-29 12:20:29.421576,930,empty
2023-06-29 12:20:29.544866,990,empty
2023-06-29 12:20:29.635252,994,empty
2023-06-29 12:20:29.716157,978,empty
2023-06-29 12:20:29.763114,958,empty
2023-06-29 12:20:30.253584,206,empty
2023-06-29 12:20:30.298859,234,empty
2023-06-29 12:20:30.424379,244,empty
2023-06-29 12:20:30.465860,255,empty
2023-06-29 12:20:30.478366,255,empty
2023-06-29 12:20:30.508796,218,empty
2023-06-29 12:20:30.538957,988,empty
2023-06-29 12:20:30.586738,1004,empty
2023-06-29 12:20:30.633119,984,empty
2023-06-29 12:20:30.689422,1004,empty
2023-06-29 12:20:30.743682,994,empty
2023-06-29 12:20:30.796568,972,empty
2023-06-29 12:20:30.863579,966,empty
2023-06-29 12:20:30.917712,1000,empty
2023-06-29 12:20:30.991636,962,empty
2023-06-29 12:20:31.041859,976,empty
2023-06-29 12:20:31.117845,972,empty
2023-06-29 12:20:31.193629,1008,empty
2023-06-29 12:20:31.256371,956,empty
2023-06-29 12:20:31.334984,1006,empty
2023-06-29 12:20:31.415797,994,empty
2023-06-29 12:20:31.487525,1056,empty
2023-06-29 12:20:31.555563,968,empty
2023-06-29 12:20:31.622634,948,empty
2023-06-29 12:20:31.718892,986,empty
2023-06-29 12:20:31.784642,952,empty
2023-06-29 12:20:31.857359,964,empty
2023-06-29 12:20:31.928619,978,empty
2023-06-29 12:20:32.039827,1040,empty
2023-06-29 12:20:32.128105,1002,empty
2023-06-29 12:20:32.214382,1006,empty
2023-06-29 12:20:32.968578,224,empty
2023-06-29 12:20:32.981018,211,empty
2023-06-29 12:20:33.013414,220,empty
2023-06-29 12:20:33.042637,237,empty
2023-06-29 12:20:33.072570,986,empty
2023-06-29 12:20:33.121026,978,empty
2023-06-29 12:20:33.170572,980,empty
2023-06-29 12:20:33.222695,964,empty
2023-06-29 12:20:33.272687,998,empty
2023-06-29 12:20:33.324008,970,empty
